CodeID	ParaID	StmtID	CommID	VarID	FPA	McCabe	Indent	IndType
1	1	1000015	1	1	6	0	0	  
2	2	2000001	2	2	6	0	0	 D
3	2	2000002	2	3	6	0	0	 D
4	2	2000003	2	4	6	0	0	 D
5	2	2000004	2	5	6	0	0	 D
6	2	2000005	2	6	6	0	0	 D
7	2	2000006	2	7	6	0	0	 D
8	2	2000009	2	8	6	0	0	 D
9	2	2000010	2	9	6	0	0	 D
10	2	2000011	2	10	6	0	0	 D
11	2	2000012	2	11	6	0	0	 D
12	2	2000013	2	12	6	0	0	 D
13	2	2000014	2	13	6	0	0	 D
14	2	2000015	2	14	6	0	0	 D
15	2	2000017	2	15	6	0	0	 D
16	2	2000020	2	16	6	0	0	 D
17	2	2000021	2	17	6	0	1	 D
18	2	2000022	2	18	6	0	1	 D
19	2	2000023	2	19	6	0	1	 D
20	2	2000024	2	20	6	0	1	 D
21	2	2000025	2	21	6	0	1	 D
22	2	2000026	2	22	6	0	1	 D
23	2	2000027	2	23	6	0	1	 D
24	2	2000028	2	24	6	0	1	 D
25	2	2000029	2	25	6	0	1	 D
26	2	2000030	2	26	6	0	1	 D
27	2	2000031	2	27	6	0	1	 D
28	2	2000034	2	28	6	0	0	 D
29	2	2000035	2	29	6	0	0	 D
30	2	2000038	2	30	6	0	0	 D
31	2	2000039	2	31	6	0	0	 D
32	2	2000040	2	32	6	0	0	 D
33	2	2000041	2	33	6	0	0	 D
34	2	2000042	2	34	6	0	0	 D
35	2	2000043	2	35	6	0	0	 D
36	2	2000044	2	36	6	0	0	 D
37	2	2000045	2	37	6	0	0	 D
38	2	2000046	2	38	6	0	0	 D
39	2	1000029	2	39	6	0	0	 D
40	2	1000030	2	40	6	0	1	 D
41	2	1000031	2	41	6	0	1	 D
42	2	1000033	2	42	6	0	0	 D
43	2	1000034	2	43	6	0	1	 D
44	2	1000035	2	44	6	0	1	 D
45	2	1000036	2	45	6	0	1	 D
46	2	1000037	2	46	6	0	1	 D
47	2	1000038	2	47	6	0	1	 D
48	2	1000039	2	48	6	0	1	 D
49	2	1000040	2	49	6	0	1	 D
50	2	1000042	2	50	6	0	0	 D
51	2	1000043	2	51	6	0	1	 D
52	2	1000044	2	52	6	0	2	 D
53	2	1000046	2	53	6	0	0	 D
54	2	1000047	2	54	6	0	1	 D
55	2	1000048	2	55	6	0	2	 D
56	2	1000049	2	56	6	0	2	 D
57	2	1000050	2	57	6	0	2	 D
58	2	1000052	2	58	6	0	0	 D
59	2	1000053	2	59	6	0	1	 D
60	2	1000058	2	60	6	0	0	 D
61	2	1000060	2	61	6	0	0	 D
62	2	1000062	2	62	6	0	0	 D
63	2	4000008	2	63	6	0	0	 D
64	2	4000009	2	64	6	0	1	 D
65	2	4000010	2	65	6	0	1	 D
66	2	4000011	2	66	6	0	1	 D
67	2	4000012	2	67	6	0	1	 D
68	2	4000013	2	68	6	0	1	 D
69	2	4000014	2	69	6	0	1	 D
70	2	4000015	2	70	6	0	1	 D
71	2	4000016	2	71	6	0	1	 D
72	2	4000017	2	72	6	0	1	 D
73	2	4000018	2	73	6	0	1	 D
74	2	4000019	2	74	6	0	1	 D
75	2	4000020	2	75	6	0	1	 D
76	2	4000021	2	76	6	0	1	 D
77	2	4000022	2	77	6	0	1	 D
78	2	4000023	2	78	6	0	1	 D
79	2	4000024	2	79	6	0	1	 D
80	2	4000025	2	80	6	0	1	 D
81	2	4000026	2	81	6	0	1	 D
82	2	4000027	2	82	6	0	1	 D
83	2	4000028	2	83	6	0	1	 D
84	2	4000029	2	84	6	0	1	 D
85	2	4000030	2	85	6	0	1	 D
86	2	4000031	2	86	6	0	1	 D
87	2	4000032	2	87	6	0	1	 D
88	2	4000033	2	88	6	0	1	 D
89	2	4000034	2	89	6	0	1	 D
90	2	4000035	2	90	6	0	1	 D
91	2	4000036	2	91	6	0	1	 D
92	2	4000037	2	92	6	0	1	 D
93	2	4000038	2	93	6	0	1	 D
94	2	4000039	2	94	6	0	1	 D
95	2	4000040	2	95	6	0	1	 D
96	2	4000041	2	96	6	0	1	 D
97	2	4000042	2	97	6	0	1	 D
98	2	4000043	2	98	6	0	1	 D
99	2	4000044	2	99	6	0	1	 D
100	2	1000068	2	100	6	0	0	 D
101	2	1000069	2	101	6	0	1	 D
102	2	1000070	2	102	6	0	1	 D
103	2	1000071	2	103	6	0	1	 D
104	2	1000073	2	104	6	0	0	 D
105	2	1000074	2	105	6	0	1	 D
106	2	1000075	2	106	6	0	1	 D
107	2	1000076	2	107	6	0	1	 D
108	2	1000078	2	108	6	0	0	 D
109	2	1000079	2	109	6	0	1	 D
110	2	1000080	2	110	6	0	1	 D
111	2	1000081	2	111	6	0	1	 D
112	2	1000082	2	112	6	0	1	 D
113	2	1000083	2	113	6	0	1	 D
114	2	1000084	2	114	6	0	1	 D
115	2	1000086	2	115	6	0	0	 D
116	2	1000087	2	116	6	0	1	 D
117	2	1000088	2	117	6	0	1	 D
118	2	1000089	2	118	6	0	2	 D
119	2	1000090	2	119	6	0	2	 D
120	2	1000091	2	120	6	0	1	 D
121	2	1000092	2	121	6	0	1	 D
122	2	1000093	2	122	6	0	2	 D
123	2	1000094	2	123	6	0	2	 D
124	2	1000096	2	124	6	0	0	 D
125	2	1000097	2	125	6	0	0	 D
126	2	1000100	2	126	6	0	0	 D
127	2	1000101	2	127	6	0	0	 D
128	2	1000102	2	128	6	0	0	 D
129	2	1000103	2	129	6	0	0	 D
130	2	1000105	2	130	6	0	0	 D
131	2	1000106	2	131	6	0	0	 D
132	2	1000108	2	132	6	0	0	 D
133	2	1000111	2	133	6	0	0	 D
134	2	1000113	2	134	6	0	0	 D
135	2	1000114	2	135	6	0	0	 D
136	2	1000115	2	136	6	0	0	 D
137	2	1000116	2	137	6	0	1	 D
138	2	1000117	2	138	6	0	1	 D
139	2	1000118	2	139	6	0	1	 D
140	2	1000119	2	140	6	0	1	 D
141	2	1000120	2	141	6	0	1	 D
142	2	1000122	2	142	6	0	0	 D
143	2	1000123	2	143	6	0	1	 D
144	2	1000124	2	144	6	0	1	 D
145	2	1000125	2	145	6	0	1	 D
