CommID	AccessType	Statement	Modifier	Exprpos	TableIndex	ExtID
1	decl	PROGRAM				
2	decl					
3	proc	ENTRY				ENTRY0
4	decl	SECTION				
5	decl	<PARAGRAPH>				
6	proc	EVALUATE				
7	proc	WHEN				
8	proc	WHEN	=			
9	proc	MOVE				
10	proc	MOVE	TO			
11	proc	SET				
12	proc	PERFORM				
13	proc	WHEN	OR			
14	proc	CONTINUE				
15	CICS	RETURN				
16	CICS	RETURN	TRANSID			
17	CICS	RETURN	IMMEDIATE			
18	CICS	RETURN	RESP			
19	CICS	RETURN	RESP2			
20	CICS	SEND CONTROL				
21	CICS	SEND CONTROL	ERASE			
22	CICS	SEND CONTROL	FREEKB			
23	proc	OTHER				
24	proc	END-EVALUATE				
25	CICS	RETURN	COMMAREA			
26	CICS	RETURN	LENGTH			
27	proc	IF				
28	proc	IF	NOT =		(NORMAL)	
29	proc	IF	INDEX			
30	proc	INITIALIZE				
31	CICS	ASSIGN				
32	CICS	ASSIGN	APPLID			
33	proc	STRING	DELIMITED BY SIZE			
34	proc	STRING	INTO			
35	CICS	ASSIGN	PROGRAM			
36	CICS	LINK				
37	CICS	LINK	PROGRAM			
38	CICS	LINK	COMMAREA			
39	proc	END-IF				
40	proc	EXIT				
41	CICS	RECEIVE MAP				
42	CICS	RECEIVE MAP	MAP			
43	CICS	RECEIVE MAP	MAPSET			
44	CICS	RECEIVE MAP	INTO			
45	CICS	RECEIVE MAP	RESP			
46	CICS	RECEIVE MAP	RESP2			
47	proc	SET	TO			
48	CICS	LINK	RESP			
49	CICS	LINK	RESP2			
50	CICS	LINK	SYNCONRETURN			
51	proc	IF	=			
52	proc	STRING				
53	proc	PERFORM	VARYING			
54	proc	PERFORM	FROM			
55	proc	PERFORM	BY			
56	proc	PERFORM	UNTIL			
57	proc	PERFORM	>			
58	proc	MOVE	TO		(WS-INDEX)	
59	proc	MOVE	INDEX			
60	proc	END-PERFORM				
61	proc	GO TO				
62	proc	MOVE	TO		(ws-index)	
63	proc	ELSE				
64	proc	PERFORM	OR			
65	proc	MOVE			(WS-INDEX)	
66	proc	IF			(WS-INDEX)	
67	proc	IF	<			
68	proc	STRING	DELIMITED		(WS-INDEX)	
69	proc	STRING	INTO		(WS-INDEX)	
70	proc	STRING	INDEX			
71	CICS	SEND MAP				
72	CICS	SEND MAP	MAP			
73	CICS	SEND MAP	MAPSET			
74	CICS	SEND MAP	FROM			
75	CICS	SEND MAP	ERASE			
76	CICS	SEND MAP	RESP			
77	CICS	SEND MAP	RESP2			
78	CICS	SEND MAP	DATAONLY			
79	CICS	SEND MAP	ALARM			
80	CICS	SEND TEXT				
