CodeID	CRUD_Name	CRUD_Segment	CRUD_Type	CRUD_Intern	CRUD_OP	CRUD_Func	CRUD_Info
1217	ACCOUNT		SQL	Table	<READ>	SELECT	no CREATE TABLE
1625	ACCOUNT		SQL	Table	<READ>	FETCH	no CREATE TABLE
1768	ACCOUNT		SQL	Table	<READ>	SELECT	no CREATE TABLE
2888	PROCTRAN		SQL	Table	<WRITE>	INSERT	no CREATE TABLE
3548	PROCTRAN		SQL	Table	<WRITE>	INSERT	no CREATE TABLE
3947	CONTROL		SQL	Table	<READ>	SELECT	no CREATE TABLE
3970	CONTROL		SQL	Table	<WRITE>	UPDATE	no CREATE TABLE
3997	CONTROL		SQL	Table	<READ>	SELECT	no CREATE TABLE
4020	CONTROL		SQL	Table	<WRITE>	UPDATE	no CREATE TABLE
4069	ACCOUNT		SQL	Table	<WRITE>	INSERT	no CREATE TABLE
4131	PROCTRAN		SQL	Table	<WRITE>	INSERT	no CREATE TABLE
4539	ACCOUNT		SQL	Table	<READ>	SELECT	no CREATE TABLE
4554	ACCOUNT		SQL	Table	<WRITE>	UPDATE	no CREATE TABLE
4782	ACCOUNT		SQL	Table	<READ>	SELECT	no CREATE TABLE
4854	ACCOUNT		SQL	Table	<WRITE>	DELETE	no CREATE TABLE
4893	PROCTRAN		SQL	Table	<WRITE>	INSERT	no CREATE TABLE
8083	ACCOUNT		SQL	Table	<READ>	SELECT	no CREATE TABLE
8097	ACCOUNT		SQL	Table	<WRITE>	UPDATE	no CREATE TABLE
8117	ACCOUNT		SQL	Table	<READ>	SELECT	no CREATE TABLE
8205	ACCOUNT		SQL	Table	<WRITE>	UPDATE	no CREATE TABLE
8292	PROCTRAN		SQL	Table	<WRITE>	INSERT	no CREATE TABLE
9304	ACCOUNT		SQL	Table	<READ>	FETCH	no CREATE TABLE
9805	CONTROL		SQL	Table	<WRITE>	INSERT	no CREATE TABLE
9814	CONTROL		SQL	Table	<WRITE>	INSERT	no CREATE TABLE
9869	ACCOUNT		SQL	Table	<WRITE>	INSERT	no CREATE TABLE
10142	ACCOUNT		SQL	Table	<WRITE>	DELETE	no CREATE TABLE
10169	CONTROL		SQL	Table	<WRITE>	DELETE	no CREATE TABLE
10196	CONTROL		SQL	Table	<WRITE>	DELETE	no CREATE TABLE
10466	ACCOUNT		SQL	Table	<READ>	SELECT	no CREATE TABLE
10499	ACCOUNT		SQL	Table	<WRITE>	UPDATE	no CREATE TABLE
10548	PROCTRAN		SQL	Table	<WRITE>	INSERT	no CREATE TABLE
