Entry	AltName
BNK1CCA	BNK1CCA
BNK1DAC	BNK1DAC
ACCTCTRL	ACCTCTRL
CRDTAGY4	CRDTAGY4
INQACC	INQACC
BNK1UAC	BNK1UAC
DELCUS	DELCUS
GETSCODE	GETSCODE
CRECUST	CRECUST
CREACC	CREACC
CRDTAGY1	CRDTAGY1
UPDACC	UPDACC
DELACC	DELACC
UPDCUST	UPDCUST
CRDTAGY2	CRDTAGY2
BNK1CCS	BNK1CCS
CRDTAGY3	CRDTAGY3
BNK1CRA	BNK1CRA
CRDTAGY5	CRDTAGY5
INQCUST	INQCUST
CUSTCTRL	CUSTCTRL
ABNDPROC	ABNDPROC
XFRFUN	XFRFUN
BNK1CAC	BNK1CAC
INQACCCU	INQACCCU
BANKDATA	BANKDATA
GETCOMPY	GETCOMPY
DBCRFUN	DBCRFUN
BNK1DCS	BNK1DCS
BNKMENU	BNKMENU
BNK1TFN	BNK1TFN
