CodeID	LitLen	Literal
8	1	X'E' [1]
9	1	X'F' [1]
10	8	'IGZSRTCD' [8]
18		SPACE
20		SPACE
22		SPACE
24		SPACE
26		SPACE
28		0
29		0
30		0
31		SPACE
38		0
40		0
41		0
43	9	'BNK1CCA  ' [9]
44	1	' ' [1]
45	6	' RESP=' [6]
46		0
47	7	' RESP2=' [7]
48		0
49	15	' ABENDING TASK.' [15]
51	1	'Y' [1]
52	1	'Y' [1]
55	1	'1' [1]
56	1	'2' [1]
57	1	'3' [1]
60	13	'Session Ended' [13]
64	1	' ' [1]
65	1	''' [1]
66	1	'_' [1]
67	1	'ö' [1]
68	1	'=' [1]
69	1	'W' [1]
70	1	'X' [1]
71	1	'h' [1]
72	1	'"' [1]
73	1	'%' [1]
74	1	'>' [1]
75	1	',' [1]
76	1	'1' [1]
77	1	'2' [1]
78	1	'3' [1]
79	1	'4' [1]
80	1	'5' [1]
81	1	'6' [1]
82	1	'7' [1]
83	1	'8' [1]
84	1	'9' [1]
85	1	':' [1]
86	1	'#' [1]
87	1	'§' [1]
88	1	'A' [1]
89	1	'B' [1]
90	1	'C' [1]
91	1	'D' [1]
92	1	'E' [1]
93	1	'F' [1]
94	1	'G' [1]
95	1	'H' [1]
96	1	'I' [1]
97	1	'Ä' [1]
98	1	'.' [1]
99	1	'<' [1]
124	8	'INQACCCU' [8]
130	1	' ' [1]
131	1	' ' [1]
132	16	'BNK1CCA DUMP NOW' [16]
144	1	'.' [1]
146	1	'.' [1]
154	8	'ABNDPROC' [8]
163	7	'BNK1CCA' [7]
166		TRUE
167		ZERO
168		LOW-VALUE
169		-1
170		TRUE
175	4	'OMEN' [4]
185		LOW-VALUES
186	20	'Invalid key pressed.' [20]
187		-1
188		TRUE
191	4	'OCCA' [4]
191		248
201	1	':' [1]
203	4	'HBNK' [4]
205		ZEROS
206	32	'A010 - RETURN TRANSID(OCCA) FAIL' [32]
206	8	'EIBRESP=' [8]
206	7	' RESP2=' [7]
209	42	'BNK1CCA - A010 - RETURN TRANSID(OCCA) FAIL' [42]
223		TRUE
230	7	'BNK1ACC' [7]
240	1	':' [1]
242	4	'HBNK' [4]
244		ZEROS
245	25	'RM010 - RECEIVE MAP FAIL.' [25]
245	8	'EIBRESP=' [8]
245	7	' RESP2=' [7]
248	35	'BNKMENU - RM010 - RECEIVE MAP FAIL ' [35]
257		NUMERIC
258	31	'Please enter a customer number.' [31]
259	1	'N' [1]
265		20
266	1	'N' [1]
268		NULL
279	1	':' [1]
281	4	'HBNK' [4]
283		ZEROS
284	28	'GCD010 - LINK INQACCCU FAIL.' [28]
284	8	'EIBRESP=' [8]
284	7	' RESP2=' [7]
287	44	'BNK1CCA - GCD010 - LINK INQACCCU  FAIL      ' [44]
292	1	'N' [1]
293		SPACES
294	24	'Unable to find customer ' [24]
295		1
295		10
296		SPACES
300		1
300		10
301		SPACES
303		ZERO
304	30	'No accounts found for customer' [30]
307	1	'N' [1]
308		SPACES
309	38	'Error accessing accounts for customer ' [38]
309	1	'.' [1]
313		SPACES
314	15	' accounts found' [15]
316		1
316		10
319		SPACES
320	1	' ' [1]
321	1	' ' [1]
322		0
323	1	'-' [1]
326	1	'+' [1]
328		0
329	1	'-' [1]
332	1	'+' [1]
336	6	'      ' [6]
336	9	'         ' [9]
336	7	'       ' [7]
336	1	'.' [1]
336	2	'  ' [2]
344	7	'BNK1ACC' [7]
354	1	':' [1]
356	4	'HBNK' [4]
358		ZEROS
359	28	'SM010 - SEND MAP ERASE FAIL.' [28]
359	8	'EIBRESP=' [8]
359	7	' RESP2=' [7]
362	38	'BNK1CCA - SM010 - SEND MAP ERASE FAIL ' [38]
370	7	'BNK1ACC' [7]
380	1	':' [1]
382	4	'HBNK' [4]
384		ZEROS
385	31	'SM010 - SEND MAP DATAONLY FAIL.' [31]
385	8	'EIBRESP=' [8]
385	7	' RESP2=' [7]
388	41	'BNK1CCA - SM010 - SEND MAP DATAONLY FAIL ' [41]
396	7	'BNK1ACC' [7]
406	1	':' [1]
408	4	'HBNK' [4]
410		ZEROS
411	37	'SM010 - SEND MAP DATAONLY ALARM FAIL.' [37]
411	8	'EIBRESP=' [8]
411	7	' RESP2=' [7]
414	47	'BNK1CCA - SM010 - SEND MAP DATAONLY ALARM FAIL ' [47]
434	1	':' [1]
436	4	'HBNK' [4]
438		ZEROS
439	24	'STM010 - SEND TEXT FAIL.' [24]
439	8	'EIBRESP=' [8]
439	7	' RESP2=' [7]
442	33	'BNK1CCA - STM010 - SEND TEXT FAIL' [33]
452	4	'HBNK' [4]
472	1	X'E' [1]
473	1	X'F' [1]
474	8	'IGZSRTCD' [8]
482		SPACE
484		SPACE
486		SPACE
488		SPACE
490		SPACE
492		0
493		0
494		0
495		SPACE
502		0
504		0
505		0
507	9	'BNK1DAC  ' [9]
508	1	' ' [1]
509	6	' RESP=' [6]
510		0
511	7	' RESP2=' [7]
512		0
513	15	' ABENDING TASK.' [15]
515	1	'Y' [1]
516	1	'Y' [1]
519	1	'1' [1]
520	1	'2' [1]
521	1	'3' [1]
524	13	'Session Ended' [13]
528	1	' ' [1]
529	1	''' [1]
530	1	'_' [1]
531	1	'ö' [1]
532	1	'=' [1]
533	1	'W' [1]
534	1	'X' [1]
535	1	'h' [1]
536	1	'"' [1]
537	1	'%' [1]
538	1	'>' [1]
539	1	',' [1]
540	1	'1' [1]
541	1	'2' [1]
542	1	'3' [1]
543	1	'4' [1]
544	1	'5' [1]
545	1	'6' [1]
546	1	'7' [1]
547	1	'8' [1]
548	1	'9' [1]
549	1	':' [1]
550	1	'#' [1]
551	1	'§' [1]
552	1	'A' [1]
553	1	'B' [1]
554	1	'C' [1]
555	1	'D' [1]
556	1	'E' [1]
557	1	'F' [1]
558	1	'G' [1]
559	1	'H' [1]
560	1	'I' [1]
561	1	'Ä' [1]
562	1	'.' [1]
563	1	'<' [1]
578	4	'ACCT' [4]
633	1	'.' [1]
635	1	'.' [1]
643	8	'ABNDPROC' [8]
662	7	'BNK1DAC' [7]
665		TRUE
666		ZERO
667		LOW-VALUE
668		-1
669		TRUE
675	4	'OMEN' [4]
687		LOW-VALUES
688	20	'Invalid key pressed.' [20]
689		-1
690		TRUE
693		ZERO
694	4	'ACCT' [4]
713	4	'ODAC' [4]
713		102
723	1	':' [1]
725	4	'HBNK' [4]
727		ZEROS
728	33	'A010 - RETURN TRANSID(ODAC) FAIL.' [33]
728	8	'EIBRESP=' [8]
728	7	' RESP2=' [7]
731	42	'BNK1DAC - A010 - RETURN TRANSID(ODAC) FAIL' [42]
756		TRUE
762	6	'BNK1DA' [6]
762	7	'BNK1DAM' [7]
772	1	':' [1]
774	4	'HBNK' [4]
776		ZEROS
777	25	'RM010 - RECEIVE MAP FAIL.' [25]
777	8	'EIBRESP=' [8]
777	7	' RESP2=' [7]
780	35	'BNK1DAC - RM010 - RECEIVE MAP FAIL ' [35]
789		LOW-VALUES
789		0
790	31	'Please enter an account number.' [31]
791	1	'N' [1]
795		NUMERIC
796	31	'Please enter an account number.' [31]
797	1	'N' [1]
803		ZEROES
803		LOW-VALUES
804	1	'N' [1]
805		SPACES
806	31	'Please enter an account number.' [31]
807		-1
814		NULL
816	6	'INQACC' [6]
826	1	':' [1]
828	4	'HBNK' [4]
830		ZEROS
831	27	'GAD010  - LINK INQACC FAIL.' [27]
831	8	'EIBRESP=' [8]
831	7	' RESP2=' [7]
834	42	'BNK1DAC - GAD010 - LINK INQACC  FAIL      ' [42]
839		SPACES
839		0
839	1	'N' [1]
840	45	'Sorry, but that account number was not found.' [45]
841	1	'N' [1]
842		SPACES
843		SPACES
844		SPACES
845		SPACES
846		zero
847		SPACES
848		SPACES
849		SPACES
850		SPACES
851		SPACES
852		SPACES
853		SPACES
854		SPACES
855		SPACES
856		SPACES
857		SPACES
858		SPACES
859		SPACES
860		zero
861		zero
888		SPACES
889	46	'If you wish to delete the Account press <PF5>.' [46]
889	1	' ' [1]
896		NULL
897		NULL
898		NULL
899	6	'DELACC' [6]
902	42	'BNK1DAC - DAD010 - LINK DELACC  FAIL      ' [42]
907	1	'N' [1]
907	1	'1' [1]
908		SPACES
909	45	'Sorry, but that account number was not found.' [45]
909	21	' Account NOT deleted.' [21]
910	1	'N' [1]
914	1	'N' [1]
914	1	'2' [1]
915		SPACES
916	38	'Sorry, but a datastore error occurred.' [38]
916	21	' Account NOT deleted.' [21]
917	1	'N' [1]
921	1	'N' [1]
921	1	'3' [1]
922		SPACES
923	35	'Sorry, but a delete error occurred.' [35]
923	21	' Account NOT deleted.' [21]
924	1	'N' [1]
928	1	'N' [1]
929		SPACES
930	35	'Sorry, but a delete error occurred.' [35]
930	21	' Account NOT deleted.' [21]
931	1	'N' [1]
935		SPACES
936		SPACES
937		SPACES
938		SPACES
939		ZERO
940		SPACES
941		SPACES
942		SPACES
943		SPACES
944		SPACES
945		SPACES
946		SPACES
947		SPACES
948		SPACES
949		SPACES
950		ZERO
951		ZERO
954		SPACES
955	8	'Account ' [8]
955	26	' was successfully deleted.' [26]
961	6	'BNK1DA' [6]
961	7	'BNK1DAM' [7]
971	1	':' [1]
973	4	'HBNK' [4]
975		ZEROS
976	28	'SM010 - SEND MAP ERASE FAIL.' [28]
976	8	'EIBRESP=' [8]
976	7	' RESP2=' [7]
979	38	'BNK1DAC - SM010 - SEND MAP ERASE FAIL ' [38]
987		SPACES
987		LOW-VALUES
988	26	'Account lookup successful.' [26]
990	6	'BNK1DA' [6]
990	7	'BNK1DAM' [7]
1000	1	':' [1]
1002	4	'HBNK' [4]
1004		ZEROS
1005	31	'SM010 - SEND MAP DATAONLY FAIL.' [31]
1005	8	'EIBRESP=' [8]
1005	7	' RESP2=' [7]
1008	41	'BNK1DAC - SM010 - SEND MAP DATAONLY FAIL ' [41]
1016	6	'BNK1DA' [6]
1016	7	'BNK1DAM' [7]
1026	1	':' [1]
1028	4	'HBNK' [4]
1030		ZEROS
1031	37	'SM010 - SEND MAP DATAONLY ALARM FAIL.' [37]
