CodeID	StmtInfo	Relation	Source	Target
461	COPY: BNK1ACC.CPY	Contain	module:BNK1CCA.cbl	module:BNK1ACC.CPY
462	COPY: DFHAID.CPY	Contain	module:BNK1CCA.cbl	module:DFHAID.CPY
463	COPY: INQACCCU.CPY	Contain	module:BNK1CCA.cbl	module:INQACCCU.CPY
464	COPY: ABNDINFO.CPY	Contain	module:BNK1CCA.cbl	module:ABNDINFO.CPY
1080	COPY: BNK1DAM.CPY	Contain	module:BNK1DAC.cbl	module:BNK1DAM.CPY
1081	COPY: DFHAID.CPY	Contain	module:BNK1DAC.cbl	module:DFHAID.CPY
1082	COPY: INQACC.CPY	Contain	module:BNK1DAC.cbl	module:INQACC.CPY
1083	COPY: ABNDINFO.CPY	Contain	module:BNK1DAC.cbl	module:ABNDINFO.CPY
1217	TBL: ACCOUNT	TableRef	program:ACCTCTRL	table:ACCOUNT
1239	COPY: SQLCA.CPY	Contain	module:ACCTCTRL.cbl	module:SQLCA.CPY
1240	COPY: ABNDINFO.CPY	Contain	module:ACCTCTRL.cbl	module:ABNDINFO.CPY
1241	COPY: SORTCODE.CPY	Contain	module:ACCTCTRL.cbl	module:SORTCODE.CPY
1242	COPY: ACCTCTRL.CPY	Contain	module:ACCTCTRL.cbl	module:ACCTCTRL.CPY
1385	COPY: SORTCODE.CPY	Contain	module:CRDTAGY4.cbl	module:SORTCODE.CPY
1386	COPY: ABNDINFO.CPY	Contain	module:CRDTAGY4.cbl	module:ABNDINFO.CPY
1625	TBL: ACCOUNT	TableRef	program:INQACC	table:ACCOUNT
1768	TBL: ACCOUNT	TableRef	program:INQACC	table:ACCOUNT
1820	COPY: SORTCODE.CPY	Contain	module:INQACC.cbl	module:SORTCODE.CPY
1821	COPY: ACCDB2.CPY	Contain	module:INQACC.cbl	module:ACCDB2.CPY
1822	COPY: SQLCA.CPY	Contain	module:INQACC.cbl	module:SQLCA.CPY
1823	COPY: ACCOUNT.CPY	Contain	module:INQACC.cbl	module:ACCOUNT.CPY
1824	COPY: ABNDINFO.CPY	Contain	module:INQACC.cbl	module:ABNDINFO.CPY
1825	COPY: INQACC.CPY	Contain	module:INQACC.cbl	module:INQACC.CPY
2553	COPY: BNK1UAM.CPY	Contain	module:BNK1UAC.cbl	module:BNK1UAM.CPY
2554	COPY: DFHAID.CPY	Contain	module:BNK1UAC.cbl	module:DFHAID.CPY
2555	COPY: ABNDINFO.CPY	Contain	module:BNK1UAC.cbl	module:ABNDINFO.CPY
2888	TBL: PROCTRAN	TableRef	program:DELCUS	table:PROCTRAN
2922	COPY: SORTCODE.CPY	Contain	module:DELCUS.cbl	module:SORTCODE.CPY
2923	COPY: PROCDB2.CPY	Contain	module:DELCUS.cbl	module:PROCDB2.CPY
2924	COPY: SQLCA.CPY	Contain	module:DELCUS.cbl	module:SQLCA.CPY
2925	COPY: ACCOUNT.CPY	Contain	module:DELCUS.cbl	module:ACCOUNT.CPY
2926	COPY: CUSTOMER.CPY	Contain	module:DELCUS.cbl	module:CUSTOMER.CPY
2927	COPY: PROCTRAN.CPY	Contain	module:DELCUS.cbl	module:PROCTRAN.CPY
2928	COPY: INQACCCU.CPY	Contain	module:DELCUS.cbl	module:INQACCCU.CPY
2929	COPY: INQCUST.CPY	Contain	module:DELCUS.cbl	module:INQCUST.CPY
2930	COPY: ABNDINFO.CPY	Contain	module:DELCUS.cbl	module:ABNDINFO.CPY
2931	COPY: DELCUS.CPY	Contain	module:DELCUS.cbl	module:DELCUS.CPY
2977	COPY: SORTCODE.CPY	Contain	module:GETSCODE.cbl	module:SORTCODE.CPY
2978	COPY: GETSCODE.CPY	Contain	module:GETSCODE.cbl	module:GETSCODE.CPY
3548	TBL: PROCTRAN	TableRef	program:CRECUST	table:PROCTRAN
3659	COPY: SORTCODE.CPY	Contain	module:CRECUST.cbl	module:SORTCODE.CPY
3660	COPY: PROCDB2.CPY	Contain	module:CRECUST.cbl	module:PROCDB2.CPY
3661	COPY: SQLCA.CPY	Contain	module:CRECUST.cbl	module:SQLCA.CPY
3662	COPY: PROCTRAN.CPY	Contain	module:CRECUST.cbl	module:PROCTRAN.CPY
3663	COPY: ABNDINFO.CPY	Contain	module:CRECUST.cbl	module:ABNDINFO.CPY
3664	COPY: CUSTOMER.CPY	Contain	module:CRECUST.cbl	module:CUSTOMER.CPY
3665	COPY: CEEIGZCT.CPY	Contain	module:CRECUST.cbl	module:CEEIGZCT.CPY
3666	COPY: CUSTCTRL.CPY	Contain	module:CRECUST.cbl	module:CUSTCTRL.CPY
3667	COPY: CRECUST.CPY	Contain	module:CRECUST.cbl	module:CRECUST.CPY
3947	TBL: CONTROL	TableRef	program:CREACC	table:CONTROL
3970	TBL: CONTROL	TableRef	program:CREACC	table:CONTROL
3997	TBL: CONTROL	TableRef	program:CREACC	table:CONTROL
4020	TBL: CONTROL	TableRef	program:CREACC	table:CONTROL
4069	TBL: ACCOUNT	TableRef	program:CREACC	table:ACCOUNT
4131	TBL: PROCTRAN	TableRef	program:CREACC	table:PROCTRAN
4246	COPY: SORTCODE.CPY	Contain	module:CREACC.cbl	module:SORTCODE.CPY
4247	COPY: ACCDB2.CPY	Contain	module:CREACC.cbl	module:ACCDB2.CPY
4248	COPY: PROCDB2.CPY	Contain	module:CREACC.cbl	module:PROCDB2.CPY
4249	COPY: SQLCA.CPY	Contain	module:CREACC.cbl	module:SQLCA.CPY
4250	COPY: PROCTRAN.CPY	Contain	module:CREACC.cbl	module:PROCTRAN.CPY
4251	COPY: ACCOUNT.CPY	Contain	module:CREACC.cbl	module:ACCOUNT.CPY
4252	COPY: CUSTOMER.CPY	Contain	module:CREACC.cbl	module:CUSTOMER.CPY
4253	COPY: INQCUST.CPY	Contain	module:CREACC.cbl	module:INQCUST.CPY
4254	COPY: INQACCCU.CPY	Contain	module:CREACC.cbl	module:INQACCCU.CPY
4255	COPY: ACCTCTRL.CPY	Contain	module:CREACC.cbl	module:ACCTCTRL.CPY
4256	COPY: ABNDINFO.CPY	Contain	module:CREACC.cbl	module:ABNDINFO.CPY
4257	COPY: CREACC.CPY	Contain	module:CREACC.cbl	module:CREACC.CPY
4400	COPY: SORTCODE.CPY	Contain	module:CRDTAGY1.cbl	module:SORTCODE.CPY
4401	COPY: ABNDINFO.CPY	Contain	module:CRDTAGY1.cbl	module:ABNDINFO.CPY
4539	TBL: ACCOUNT	TableRef	program:UPDACC	table:ACCOUNT
4554	TBL: ACCOUNT	TableRef	program:UPDACC	table:ACCOUNT
4599	COPY: SORTCODE.CPY	Contain	module:UPDACC.cbl	module:SORTCODE.CPY
4600	COPY: ACCDB2.CPY	Contain	module:UPDACC.cbl	module:ACCDB2.CPY
4601	COPY: SQLCA.CPY	Contain	module:UPDACC.cbl	module:SQLCA.CPY
4602	COPY: ACCOUNT.CPY	Contain	module:UPDACC.cbl	module:ACCOUNT.CPY
4603	COPY: ABNDINFO.CPY	Contain	module:UPDACC.cbl	module:ABNDINFO.CPY
4604	COPY: UPDACC.CPY	Contain	module:UPDACC.cbl	module:UPDACC.CPY
4782	TBL: ACCOUNT	TableRef	program:DELACC	table:ACCOUNT
4854	TBL: ACCOUNT	TableRef	program:DELACC	table:ACCOUNT
4893	TBL: PROCTRAN	TableRef	program:DELACC	table:PROCTRAN
4927	COPY: SORTCODE.CPY	Contain	module:DELACC.cbl	module:SORTCODE.CPY
4928	COPY: ACCDB2.CPY	Contain	module:DELACC.cbl	module:ACCDB2.CPY
4929	COPY: PROCDB2.CPY	Contain	module:DELACC.cbl	module:PROCDB2.CPY
4930	COPY: SQLCA.CPY	Contain	module:DELACC.cbl	module:SQLCA.CPY
4931	COPY: ACCOUNT.CPY	Contain	module:DELACC.cbl	module:ACCOUNT.CPY
4932	COPY: PROCTRAN.CPY	Contain	module:DELACC.cbl	module:PROCTRAN.CPY
4933	COPY: ACCTCTRL.CPY	Contain	module:DELACC.cbl	module:ACCTCTRL.CPY
4934	COPY: ABNDINFO.CPY	Contain	module:DELACC.cbl	module:ABNDINFO.CPY
4935	COPY: DELACC.CPY	Contain	module:DELACC.cbl	module:DELACC.CPY
5132	COPY: SORTCODE.CPY	Contain	module:UPDCUST.cbl	module:SORTCODE.CPY
5133	COPY: CUSTOMER.CPY	Contain	module:UPDCUST.cbl	module:CUSTOMER.CPY
5134	COPY: ABNDINFO.CPY	Contain	module:UPDCUST.cbl	module:ABNDINFO.CPY
5135	COPY: UPDCUST.CPY	Contain	module:UPDCUST.cbl	module:UPDCUST.CPY
