ExtID	Mapset	Map	MapFld	FldType	FldRow	FldCol	FldLen	Attrib	Color	Hilight	Initial
MAP000001	BNK1DCM	BNK1DCM.									
MAP000002	BNK1DCM	BNK1DCM.BNK1DC									
MAP000003	BNK1DCM	BNK1DCM.BNK1DC		LABEL	1	1	7	(NORM,PROT)			'BNK1DC '
MAP000004	BNK1DCM	BNK1DCM.BNK1DC	COMPANY	FIELD	1	16	52	(NORM,PROT)			'CICS Banking Sample Application - Display Customer.'
MAP000005	BNK1DCM	BNK1DCM.BNK1DC		LABEL	3	1	44	(ASKIP,PROT)			'Provide a CUSTOMER number. Then press Enter.'
MAP000006	BNK1DCM	BNK1DCM.BNK1DC		LABEL	5	1	16	(ASKIP,PROT)			'CUSTOMER NUMBER'
MAP000007	BNK1DCM	BNK1DCM.BNK1DC	CUSTNO	FIELD	5	17	10	(NORM,IC)			
MAP000008	BNK1DCM	BNK1DCM.BNK1DC		LABEL	5	28	1	(ASKIP,PROT)			
MAP000009	BNK1DCM	BNK1DCM.BNK1DC		LABEL	7	1	16	(ASKIP,PROT)			'Sort Code       '
MAP000010	BNK1DCM	BNK1DCM.BNK1DC	SORTC	FIELD	7	18	6	(NORM,PROT,FSET,ASKIP)			
MAP000011	BNK1DCM	BNK1DCM.BNK1DC		LABEL	8	1	16	(NORM,PROT,ASKIP)			'Customer Number '
MAP000012	BNK1DCM	BNK1DCM.BNK1DC	CUSTNO2	FIELD	8	18	10	(NORM,PROT,ASKIP,FSET)			
MAP000013	BNK1DCM	BNK1DCM.BNK1DC		LABEL	9	1	16	(NORM,PROT)			'Customer Name   '
MAP000014	BNK1DCM	BNK1DCM.BNK1DC	CUSTNAM	FIELD	9	18	60	(PROT,FSET,NORM,ASKIP)			
MAP000015	BNK1DCM	BNK1DCM.BNK1DC		LABEL	9	79	0	(PROT,ASKIP)			
MAP000016	BNK1DCM	BNK1DCM.BNK1DC		LABEL	10	1	16	(NORM,PROT)			'Customer Address'
MAP000017	BNK1DCM	BNK1DCM.BNK1DC	CUSTAD1	FIELD	10	18	60	(PROT,FSET,NORM,ASKIP)			
MAP000018	BNK1DCM	BNK1DCM.BNK1DC		LABEL	10	79	0	(PROT,ASKIP)			
MAP000019	BNK1DCM	BNK1DCM.BNK1DC		LABEL	11	1	1	(NORM,PROT,ASKIP)			' '
MAP000020	BNK1DCM	BNK1DCM.BNK1DC	CUSTAD2	FIELD	11	18	60	(NORM,PROT,ASKIP,FSET)			
MAP000021	BNK1DCM	BNK1DCM.BNK1DC		LABEL	11	79	0	(PROT,ASKIP)			
MAP000022	BNK1DCM	BNK1DCM.BNK1DC		LABEL	12	1	1	(NORM,PROT,ASKIP)			' '
MAP000023	BNK1DCM	BNK1DCM.BNK1DC	CUSTAD3	FIELD	12	18	40	(NORM,PROT,FSET,ASKIP)			
MAP000024	BNK1DCM	BNK1DCM.BNK1DC		LABEL	12	59	0	(NORM,PROT,ASKIP)			
MAP000025	BNK1DCM	BNK1DCM.BNK1DC		LABEL	13	1	16	(NORM,PROT,ASKIP)			'Customer D.O.B.'
MAP000026	BNK1DCM	BNK1DCM.BNK1DC	DOBDD	FIELD	13	18	2	(NORM,PROT,FSET,ASKIP)			
MAP000027	BNK1DCM	BNK1DCM.BNK1DC		LABEL	13	21	1	(NORM,PROT,ASKIP)			'/'
MAP000028	BNK1DCM	BNK1DCM.BNK1DC	DOBMM	FIELD	13	23	2	(NORM,PROT,FSET,ASKIP)			
MAP000029	BNK1DCM	BNK1DCM.BNK1DC		LABEL	13	26	1	(NORM,PROT,ASKIP)			'/'
MAP000030	BNK1DCM	BNK1DCM.BNK1DC	DOBYY	FIELD	13	28	4	(NORM,PROT,FSET,ASKIP)			
MAP000031	BNK1DCM	BNK1DCM.BNK1DC		LABEL	14	1	17	(NORM,PROT)			'Credit Score    '
MAP000032	BNK1DCM	BNK1DCM.BNK1DC	CREDSC	FIELD	14	18	3	(NORM,PROT,FSET,ASKIP)			
MAP000033	BNK1DCM	BNK1DCM.BNK1DC		LABEL	15	1	17	(NORM,PROT)			'CS Review Date  '
MAP000034	BNK1DCM	BNK1DCM.BNK1DC	SCRDTDD	FIELD	15	18	2	(NORM,PROT,FSET,ASKIP)			
MAP000035	BNK1DCM	BNK1DCM.BNK1DC		LABEL	15	21	1	(NORM,PROT,ASKIP)			'/'
MAP000036	BNK1DCM	BNK1DCM.BNK1DC	SCRDTMM	FIELD	15	23	2	(NORM,PROT,FSET,ASKIP)			
MAP000037	BNK1DCM	BNK1DCM.BNK1DC		LABEL	15	26	1	(NORM,PROT,ASKIP)			'/'
MAP000038	BNK1DCM	BNK1DCM.BNK1DC	SCRDTYY	FIELD	15	28	4	(NORM,PROT,FSET,ASKIP)			
MAP000039	BNK1DCM	BNK1DCM.BNK1DC	MESSAGE	FIELD	23	1	79	(BRT,PROT,ASKIP)			
MAP000040	BNK1DCM	BNK1DCM.BNK1DC		LABEL	24	1	20	(NORM,PROT,ASKIP)			'F3=Exit   F12=Cancel'
MAP000041	BNK1DCM	BNK1DCM.BNK1DC	DUMMY	FIELD	24	79	1	(DRK,PROT,FSET,ASKIP)			' '
MAP000042	BNK1CDM	BNK1CDM.									
MAP000043	BNK1CDM	BNK1CDM.BNK1CD									
MAP000044	BNK1CDM	BNK1CDM.BNK1CD		LABEL	1	1	7	(PROT,NORM)			'BNK1CD '
MAP000045	BNK1CDM	BNK1CDM.BNK1CD	COMPANY	FIELD	1	15	58	(NORM,PROT)			'CICS Banking Sample Application - Credit/Debit Funds.'
MAP000046	BNK1CDM	BNK1CDM.BNK1CD		LABEL	3	1	61	(NORM,PROT)			'Provide an ACCOUNT number and an AMOUNT and then press Enter.'
MAP000047	BNK1CDM	BNK1CDM.BNK1CD		LABEL	8	1	15	(NORM,PROT)			'ACCOUNT NUMBER:'
MAP000048	BNK1CDM	BNK1CDM.BNK1CD	ACCNO	FIELD	8	17	8	(NORM,NUM,IC,FSET)			
MAP000049	BNK1CDM	BNK1CDM.BNK1CD		LABEL	8	26	7	(NORM,PROT,ASKIP)			'AMOUNT:'
MAP000050	BNK1CDM	BNK1CDM.BNK1CD	SIGN	FIELD	8	35	1	(NORM,UNPROT,FSET)			'+'
MAP000051	BNK1CDM	BNK1CDM.BNK1CD	AMT	FIELD	8	37	13	(NORM,UNPROT,FSET)			'0000000000.00'
MAP000052	BNK1CDM	BNK1CDM.BNK1CD		LABEL	8	51	1	(PROT,ASKIP)			' '
MAP000053	BNK1CDM	BNK1CDM.BNK1CD		LABEL	10	1	16	(NORM,PROT)			'Sort Code: '
MAP000054	BNK1CDM	BNK1CDM.BNK1CD	SORTC	FIELD	10	21	6	(NORM,NUM,PROT)			'      '
MAP000055	BNK1CDM	BNK1CDM.BNK1CD		LABEL	11	1	18	(NORM,PROT)			'Available Balance:'
MAP000056	BNK1CDM	BNK1CDM.BNK1CD	AVBAL	FIELD	11	20	14	(NORM,PROT)			
MAP000057	BNK1CDM	BNK1CDM.BNK1CD		LABEL	12	1	16	(NORM,PROT)			'Actual Balance:'
MAP000058	BNK1CDM	BNK1CDM.BNK1CD	ACTBAL	FIELD	12	20	14	(NORM,PROT)			
MAP000059	BNK1CDM	BNK1CDM.BNK1CD	MESSAGE	FIELD	23	1	79	(BRT,PROT)			
MAP000060	BNK1CDM	BNK1CDM.BNK1CD		LABEL	24	1	20	(NORM,PROT)			'F3=Exit   F12=Cancel'
MAP000061	BNK1CDM	BNK1CDM.BNK1CD	DUMMY	FIELD	24	79	1	(DRK,PROT,FSET)			' '
MAP000062	BNK1TFM	BNK1TFM.									
MAP000063	BNK1TFM	BNK1TFM.BNK1B2									
MAP000064	BNK1TFM	BNK1TFM.BNK1B2		LABEL	1	1	7	(ASKIP,NORM)			'BNK1B2'
MAP000065	BNK1TFM	BNK1TFM.BNK1B2	COMPANY	FIELD	1	15	58	(PROT,NORM)			'CICS Banking Sample Application - Transfer Funds'
MAP000066	BNK1TFM	BNK1TFM.BNK1B2		LABEL	3	1	15	(ASKIP,NORM)			'Transfer funds'
MAP000067	BNK1TFM	BNK1TFM.BNK1B2		LABEL	2	1	79				
MAP000068	BNK1TFM	BNK1TFM.BNK1B2		LABEL	5	5	73	(ASKIP,NORM)			'Provide the Sort Code and Account Number of the Accounts you want '
MAP000069	BNK1TFM	BNK1TFM.BNK1B2		LABEL	6	5	68	(ASKIP,NORM)			'to transfer money FROM and TO and the AMOUNT you want to transfer. '
MAP000070	BNK1TFM	BNK1TFM.BNK1B2		LABEL	7	5	68	(ASKIP,NORM)			'Then press ENTER.  '
MAP000071	BNK1TFM	BNK1TFM.BNK1B2		LABEL	8	1	79				
MAP000072	BNK1TFM	BNK1TFM.BNK1B2		LABEL	9	5	12	(ASKIP,BRT)			'From Account'
MAP000073	BNK1TFM	BNK1TFM.BNK1B2		LABEL	10	10	16	(ASKIP,NORM)			'Sort Code      :'
MAP000074	BNK1TFM	BNK1TFM.BNK1B2	FSCDE1	FIELD	10	27	2	(ASKIP,BRT)			'00'
MAP000075	BNK1TFM	BNK1TFM.BNK1B2		LABEL	10	30	1	(ASKIP,BRT)			'-'
MAP000076	BNK1TFM	BNK1TFM.BNK1B2	FSCDE2	FIELD	10	32	2	(ASKIP,BRT)			'00'
MAP000077	BNK1TFM	BNK1TFM.BNK1B2		LABEL	10	35	1	(ASKIP,BRT)			'-'
MAP000078	BNK1TFM	BNK1TFM.BNK1B2	FSCDE3	FIELD	10	37	2	(ASKIP,BRT)			'00'
MAP000079	BNK1TFM	BNK1TFM.BNK1B2		LABEL	10	40	39				
MAP000080	BNK1TFM	BNK1TFM.BNK1B2		LABEL	11	10	16	(ASKIP,NORM)			'Account Number :'
MAP000081	BNK1TFM	BNK1TFM.BNK1B2	FACCNO	FIELD	11	27	8	(NUM,BRT,IC)			
MAP000082	BNK1TFM	BNK1TFM.BNK1B2		LABEL	11	36	43				
MAP000083	BNK1TFM	BNK1TFM.BNK1B2		LABEL	12	1	79				
MAP000084	BNK1TFM	BNK1TFM.BNK1B2		LABEL	13	10	26	(ASKIP,NORM)			'Amount to be Transferred :'
MAP000085	BNK1TFM	BNK1TFM.BNK1B2	AMT	FIELD	13	39	13	(NORM,UNPROT)			'0000000000.00'
MAP000086	BNK1TFM	BNK1TFM.BNK1B2		LABEL	13	53	24				
MAP000087	BNK1TFM	BNK1TFM.BNK1B2		LABEL	14	1	79				
MAP000088	BNK1TFM	BNK1TFM.BNK1B2		LABEL	15	10	26	(ASKIP,NORM)			'Actual Balance ......... :'
MAP000089	BNK1TFM	BNK1TFM.BNK1B2	ACTSIGN	FIELD	15	37	1	(ASKIP,NORM)			' '
MAP000090	BNK1TFM	BNK1TFM.BNK1B2	ACTPND	FIELD	15	39	10	(NUM,PROT,ASKIP,NORM)			'0000000000'
MAP000091	BNK1TFM	BNK1TFM.BNK1B2		LABEL	15	50	1	(ASKIP,NORM)			'.'
MAP000092	BNK1TFM	BNK1TFM.BNK1B2	ACTPNC	FIELD	15	52	2	(NUM,PROT,ASKIP,NORM)			'00'
MAP000093	BNK1TFM	BNK1TFM.BNK1B2		LABEL	15	55	24				
MAP000094	BNK1TFM	BNK1TFM.BNK1B2		LABEL	16	10	26	(ASKIP,NORM)			'Available Balance ...... :'
MAP000095	BNK1TFM	BNK1TFM.BNK1B2	AVASIGN	FIELD	16	37	1	(ASKIP,NORM)			' '
MAP000096	BNK1TFM	BNK1TFM.BNK1B2	AVAPND	FIELD	16	39	10	(NUM,NORM,PROT,ASKIP)			'0000000000'
MAP000097	BNK1TFM	BNK1TFM.BNK1B2		LABEL	16	50	1	(ASKIP,NORM,PROT,ASKIP)			'.'
MAP000098	BNK1TFM	BNK1TFM.BNK1B2	AVAPNC	FIELD	16	52	2	(NUM,NORM,PROT,ASKIP)			'00'
MAP000099	BNK1TFM	BNK1TFM.BNK1B2		LABEL	16	55	24				
MAP000100	BNK1TFM	BNK1TFM.BNK1B2		LABEL	17	1	79				
MAP000101	BNK1TFM	BNK1TFM.BNK1B2		LABEL	18	5	12	(ASKIP,BRT)			'To Account'
MAP000102	BNK1TFM	BNK1TFM.BNK1B2		LABEL	19	10	16	(ASKIP,NORM)			'Sort Code      :'
MAP000103	BNK1TFM	BNK1TFM.BNK1B2	TSCDE1	FIELD	19	27	2	(ASKIP,BRT)			'00'
MAP000104	BNK1TFM	BNK1TFM.BNK1B2		LABEL	19	30	1				'-'
MAP000105	BNK1TFM	BNK1TFM.BNK1B2	TSCDE2	FIELD	19	32	2	(ASKIP,BRT)			'00'
MAP000106	BNK1TFM	BNK1TFM.BNK1B2		LABEL	19	35	1				'-'
MAP000107	BNK1TFM	BNK1TFM.BNK1B2	TSCDE3	FIELD	19	37	2	(NUM,BRT)			'00'
MAP000108	BNK1TFM	BNK1TFM.BNK1B2		LABEL	19	40	39				
MAP000109	BNK1TFM	BNK1TFM.BNK1B2		LABEL	20	10	16	(ASKIP,NORM)			'Account Number :'
MAP000110	BNK1TFM	BNK1TFM.BNK1B2	TACCNO	FIELD	20	27	8	(NUM,BRT)			
MAP000111	BNK1TFM	BNK1TFM.BNK1B2		LABEL	20	36	43				
MAP000112	BNK1TFM	BNK1TFM.BNK1B2		LABEL	21	1	79				
MAP000113	BNK1TFM	BNK1TFM.BNK1B2		LABEL	22	1	79				
MAP000114	BNK1TFM	BNK1TFM.BNK1B2	MESSAGE	FIELD	23	1	79	(ASKIP,BRT)			
MAP000115	BNK1TFM	BNK1TFM.BNK1B2		LABEL	24	1	20	(NORM,ASKIP)			'F3=Exit   F12=Cancel'
MAP000116	BNK1TFM	BNK1TFM.BNK1B2	DUMMY	FIELD	24	79	1	(DRK,ASKIP)			' '
MAP000117	BNK1DAM	BNK1DAM.									
MAP000118	BNK1DAM	BNK1DAM.BNK1DA									
MAP000119	BNK1DAM	BNK1DAM.BNK1DA		LABEL	1	1	7	(PROT,NORM)			'BNK1DA '
MAP000120	BNK1DAM	BNK1DAM.BNK1DA	COMPANY	FIELD	1	16	52	(NORM,PROT)			'CICS Banking Sample Application - Display Account.'
MAP000121	BNK1DAM	BNK1DAM.BNK1DA		LABEL	3	1	44	(NORM,PROT)			'Provide an ACCOUNT number. Then press Enter.'
MAP000122	BNK1DAM	BNK1DAM.BNK1DA		LABEL	5	1	15	(NORM,PROT)			'ACCOUNT NUMBER'
MAP000123	BNK1DAM	BNK1DAM.BNK1DA	ACCNO	FIELD	5	17	8	(NORM,NUM,IC)			
MAP000124	BNK1DAM	BNK1DAM.BNK1DA		LABEL	5	26	1	(PROT,ASKIP)			
MAP000125	BNK1DAM	BNK1DAM.BNK1DA		LABEL	7	1	18	(NORM,PROT)			' Customer Number:'
MAP000126	BNK1DAM	BNK1DAM.BNK1DA	CUSTNO	FIELD	7	20	10	(NORM,PROT,FSET,ASKIP)			
MAP000127	BNK1DAM	BNK1DAM.BNK1DA		LABEL	8	1	18	(NORM,PROT)			' Sort Code      :'
MAP000128	BNK1DAM	BNK1DAM.BNK1DA	SORTC	FIELD	8	20	6	(NORM,PROT,FSET,ASKIP)			
MAP000129	BNK1DAM	BNK1DAM.BNK1DA		LABEL	9	1	18	(NORM,PROT)			' Account Number :'
MAP000130	BNK1DAM	BNK1DAM.BNK1DA	ACCNO2	FIELD	9	20	10	(PROT,ASKIP,FSET,NORM)			
MAP000131	BNK1DAM	BNK1DAM.BNK1DA		LABEL	10	1	18	(NORM,PROT)			' Account Type   :'
MAP000132	BNK1DAM	BNK1DAM.BNK1DA	ACTYPE	FIELD	10	20	8	(PROT,ASKIP,FSET,NORM)			
MAP000133	BNK1DAM	BNK1DAM.BNK1DA		LABEL	11	1	18	(NORM,PROT)			' Interest Rate  :'
MAP000134	BNK1DAM	BNK1DAM.BNK1DA	INTRT	FIELD	11	20	7	(PROT,ASKIP,FSET,NORM)			
MAP000135	BNK1DAM	BNK1DAM.BNK1DA		LABEL	12	1	18	(NORM,PROT)			' Account Opened :'
MAP000136	BNK1DAM	BNK1DAM.BNK1DA	OPENDD	FIELD	12	20	2	(NORM,PROT,ASKIP,FSET)			
