CodeID	ErrorCode	Error
167	10010	E-EMSG10010 Error: Variable not in symbol table: EIBCALEN
168	10010	E-EMSG10010 Error: Variable not in symbol table: BNK1ACCO
169	10010	E-EMSG10010 Error: Variable not in symbol table: CUSTNOL
172	10010	E-EMSG10010 Error: Variable not in symbol table: EIBAID
174	10010	E-EMSG10010 Error: Variable not in symbol table: EIBAID
176	10010	E-EMSG10010 Error: Variable not in symbol table: EIBAID
179	10010	E-EMSG10010 Error: Variable not in symbol table: EIBAID
182	10010	E-EMSG10010 Error: Variable not in symbol table: EIBAID
185	10010	E-EMSG10010 Error: Variable not in symbol table: BNK1ACCO
186	10010	E-EMSG10010 Error: Variable not in symbol table: MESSAGEO
187	10010	E-EMSG10010 Error: Variable not in symbol table: CUSTNOL
192	10010	E-EMSG10010 Error: Variable not in symbol table: DFHRESP
194	10010	E-EMSG10010 Error: Variable not in symbol table: EIBRESP
194	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-RESPCODE
195	10010	E-EMSG10010 Error: Variable not in symbol table: EIBRESP2
195	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-RESP2CODE
196	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-APPLID
197	10010	E-EMSG10010 Error: Variable not in symbol table: EIBTASKN
197	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-TASKNO-KEY
198	10010	E-EMSG10010 Error: Variable not in symbol table: EIBTRNID
198	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-TRANID
200	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-DATE
201	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-TIME
202	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-UTIME-KEY
203	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-CODE
204	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-PROGRAM
205	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-SQLCODE
206	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-RESPCODE
206	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-RESP2CODE
206	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-FREEFORM
229	10010	E-EMSG10010 Error: Variable not in symbol table: BNK1ACCI
230	10010	E-EMSG10010 Error: Variable not in symbol table: BNK1ACCI
231	10010	E-EMSG10010 Error: Variable not in symbol table: DFHRESP
233	10010	E-EMSG10010 Error: Variable not in symbol table: EIBRESP
233	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-RESPCODE
234	10010	E-EMSG10010 Error: Variable not in symbol table: EIBRESP2
234	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-RESP2CODE
235	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-APPLID
236	10010	E-EMSG10010 Error: Variable not in symbol table: EIBTASKN
236	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-TASKNO-KEY
237	10010	E-EMSG10010 Error: Variable not in symbol table: EIBTRNID
237	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-TRANID
239	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-DATE
240	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-TIME
241	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-UTIME-KEY
242	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-CODE
243	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-PROGRAM
244	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-SQLCODE
245	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-RESPCODE
245	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-RESP2CODE
245	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-FREEFORM
257	10010	E-EMSG10010 Error: Variable not in symbol table: CUSTNOI
258	10010	E-EMSG10010 Error: Variable not in symbol table: MESSAGEO
265	10010	E-EMSG10010 Error: Variable not in symbol table: NUMBER-OF-ACCOUNTS
266	10010	E-EMSG10010 Error: Variable not in symbol table: COMM-SUCCESS
267	10010	E-EMSG10010 Error: Variable not in symbol table: CUSTNOI
267	10010	E-EMSG10010 Error: Variable not in symbol table: CUSTOMER-NUMBER
268	10010	E-EMSG10010 Error: Variable not in symbol table: COMM-PCB-POINTER
270	10010	E-EMSG10010 Error: Variable not in symbol table: DFHRESP
272	10010	E-EMSG10010 Error: Variable not in symbol table: EIBRESP
272	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-RESPCODE
273	10010	E-EMSG10010 Error: Variable not in symbol table: EIBRESP2
273	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-RESP2CODE
274	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-APPLID
275	10010	E-EMSG10010 Error: Variable not in symbol table: EIBTASKN
275	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-TASKNO-KEY
276	10010	E-EMSG10010 Error: Variable not in symbol table: EIBTRNID
276	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-TRANID
278	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-DATE
279	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-TIME
280	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-UTIME-KEY
281	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-CODE
282	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-PROGRAM
283	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-SQLCODE
284	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-RESPCODE
284	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-RESP2CODE
284	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-FREEFORM
292	10010	E-EMSG10010 Error: Variable not in symbol table: CUSTOMER-FOUND
293	10010	E-EMSG10010 Error: Variable not in symbol table: MESSAGEO
294	10010	E-EMSG10010 Error: Variable not in symbol table: CUSTOMER-NUMBER
294	10010	E-EMSG10010 Error: Variable not in symbol table: MESSAGEO
296	10010	E-EMSG10010 Error: Variable not in symbol table: ACCOUNTO
301	10010	E-EMSG10010 Error: Variable not in symbol table: ACCOUNTO
303	10010	E-EMSG10010 Error: Variable not in symbol table: NUMBER-OF-ACCOUNTS
304	10010	E-EMSG10010 Error: Variable not in symbol table: MESSAGEO
307	10010	E-EMSG10010 Error: Variable not in symbol table: COMM-SUCCESS
308	10010	E-EMSG10010 Error: Variable not in symbol table: MESSAGEO
309	10010	E-EMSG10010 Error: Variable not in symbol table: CUSTOMER-NUMBER
309	10010	E-EMSG10010 Error: Variable not in symbol table: MESSAGEO
312	10010	E-EMSG10010 Error: Variable not in symbol table: NUMBER-OF-ACCOUNTS
313	10010	E-EMSG10010 Error: Variable not in symbol table: MESSAGEO
314	10010	E-EMSG10010 Error: Variable not in symbol table: MESSAGEO
316	10010	E-EMSG10010 Error: Variable not in symbol table: NUMBER-OF-ACCOUNTS
317	10010	E-EMSG10010 Error: Variable not in symbol table: COMM-SCODE
318	10010	E-EMSG10010 Error: Variable not in symbol table: COMM-ACCNO
319	10010	E-EMSG10010 Error: Variable not in symbol table: ACCOUNTO
322	10010	E-EMSG10010 Error: Variable not in symbol table: COMM-AVAIL-BAL
328	10010	E-EMSG10010 Error: Variable not in symbol table: COMM-ACTUAL-BAL
334	10010	E-EMSG10010 Error: Variable not in symbol table: COMM-AVAIL-BAL
335	10010	E-EMSG10010 Error: Variable not in symbol table: COMM-ACTUAL-BAL
336	10010	E-EMSG10010 Error: Variable not in symbol table: COMM-ACC-TYPE
336	10010	E-EMSG10010 Error: Variable not in symbol table: ACCOUNTO
344	10010	E-EMSG10010 Error: Variable not in symbol table: BNK1ACCO
345	10010	E-EMSG10010 Error: Variable not in symbol table: DFHRESP
347	10010	E-EMSG10010 Error: Variable not in symbol table: EIBRESP
347	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-RESPCODE
348	10010	E-EMSG10010 Error: Variable not in symbol table: EIBRESP2
348	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-RESP2CODE
349	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-APPLID
350	10010	E-EMSG10010 Error: Variable not in symbol table: EIBTASKN
350	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-TASKNO-KEY
351	10010	E-EMSG10010 Error: Variable not in symbol table: EIBTRNID
351	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-TRANID
