ParaID	Program	Section	Paragraph	Signature	SrcType
1	BNK1CCA				COBOL
2	BNK1CCA	WORKING-STORAGE			COBOL
3	BNK1CCA	LINKAGE			COBOL
4	BNK1CCA	PREMIERE			COBOL
5	BNK1CCA	PREMIERE	A010		COBOL
6	BNK1CCA	PREMIERE	A999		COBOL
7	BNK1CCA	PROCESS-MAP			COBOL
8	BNK1CCA	PROCESS-MAP	PM010		COBOL
9	BNK1CCA	PROCESS-MAP	PM999		COBOL
10	BNK1CCA	RECEIVE-MAP			COBOL
11	BNK1CCA	RECEIVE-MAP	RM010		COBOL
12	BNK1CCA	RECEIVE-MAP	RM999		COBOL
13	BNK1CCA	EDIT-DATA			COBOL
14	BNK1CCA	EDIT-DATA	ED010		COBOL
15	BNK1CCA	EDIT-DATA	ED999		COBOL
16	BNK1CCA	GET-CUST-DATA			COBOL
17	BNK1CCA	GET-CUST-DATA	GCD010		COBOL
18	BNK1CCA	GET-CUST-DATA	GCD999		COBOL
19	BNK1CCA	SEND-MAP			COBOL
20	BNK1CCA	SEND-MAP	SM010		COBOL
21	BNK1CCA	SEND-MAP	SM999		COBOL
22	BNK1CCA	SEND-TERMINATION-MSG			COBOL
23	BNK1CCA	SEND-TERMINATION-MSG	STM010		COBOL
24	BNK1CCA	SEND-TERMINATION-MSG	STM999		COBOL
25	BNK1CCA	ABEND-THIS-TASK			COBOL
26	BNK1CCA	ABEND-THIS-TASK	ATT010		COBOL
27	BNK1CCA	ABEND-THIS-TASK	ATT999		COBOL
28	BNK1CCA	POPULATE-TIME-DATE			COBOL
29	BNK1CCA	POPULATE-TIME-DATE	PTD010		COBOL
30	BNK1CCA	POPULATE-TIME-DATE	PTD999		COBOL
31	BNK1DAC				COBOL
32	BNK1DAC	WORKING-STORAGE			COBOL
33	BNK1DAC	LINKAGE			COBOL
34	BNK1DAC	PREMIERE			COBOL
35	BNK1DAC	PREMIERE	A010		COBOL
36	BNK1DAC	PREMIERE	A999		COBOL
37	BNK1DAC	PROCESS-MAP			COBOL
38	BNK1DAC	PROCESS-MAP	PM010		COBOL
39	BNK1DAC	PROCESS-MAP	PM999		COBOL
40	BNK1DAC	RECEIVE-MAP			COBOL
41	BNK1DAC	RECEIVE-MAP	RM010		COBOL
42	BNK1DAC	RECEIVE-MAP	RM999		COBOL
43	BNK1DAC	EDIT-DATA			COBOL
44	BNK1DAC	EDIT-DATA	ED010		COBOL
45	BNK1DAC	EDIT-DATA	ED999		COBOL
46	BNK1DAC	VALIDATE-DATA			COBOL
47	BNK1DAC	VALIDATE-DATA	VD010		COBOL
48	BNK1DAC	VALIDATE-DATA	VD999		COBOL
49	BNK1DAC	GET-ACC-DATA			COBOL
50	BNK1DAC	GET-ACC-DATA	GAD010		COBOL
51	BNK1DAC	GET-ACC-DATA	GAD999		COBOL
52	BNK1DAC	DEL-ACC-DATA			COBOL
53	BNK1DAC	DEL-ACC-DATA	DAD010		COBOL
54	BNK1DAC	DEL-ACC-DATA	DAD999		COBOL
55	BNK1DAC	SEND-MAP			COBOL
56	BNK1DAC	SEND-MAP	SM010		COBOL
57	BNK1DAC	SEND-MAP	SM999		COBOL
58	BNK1DAC	SEND-TERMINATION-MSG			COBOL
59	BNK1DAC	SEND-TERMINATION-MSG	STM010		COBOL
60	BNK1DAC	SEND-TERMINATION-MSG	STM999		COBOL
61	BNK1DAC	ABEND-THIS-TASK			COBOL
62	BNK1DAC	ABEND-THIS-TASK	ATT010		COBOL
63	BNK1DAC	ABEND-THIS-TASK	ATT999		COBOL
64	BNK1DAC	POPULATE-TIME-DATE			COBOL
65	BNK1DAC	POPULATE-TIME-DATE	PTD010		COBOL
66	BNK1DAC	POPULATE-TIME-DATE	PTD999		COBOL
67	ACCTCTRL				COBOL
68	ACCTCTRL	WORKING-STORAGE			COBOL
69	ACCTCTRL	LOCAL-STORAGE			COBOL
70	ACCTCTRL	LINKAGE			COBOL
71	ACCTCTRL	PREMIERE			COBOL
72	ACCTCTRL	PREMIERE	P010		COBOL
73	ACCTCTRL	PREMIERE	P999		COBOL
74	ACCTCTRL	GET-NUMBER-OF-ACCOUNTS-DB2			COBOL
75	ACCTCTRL	GET-NUMBER-OF-ACCOUNTS-DB2	WCD010		COBOL
76	ACCTCTRL	GET-NUMBER-OF-ACCOUNTS-DB2	WCD999		COBOL
77	ACCTCTRL	POPULATE-TIME-DATE			COBOL
78	ACCTCTRL	POPULATE-TIME-DATE	PTD010		COBOL
79	ACCTCTRL	POPULATE-TIME-DATE	PTD999		COBOL
80	ACCTCTRL	GET-ME-OUT-OF-HERE			COBOL
81	ACCTCTRL	GET-ME-OUT-OF-HERE	GMOFH010		COBOL
82	ACCTCTRL	GET-ME-OUT-OF-HERE	GMOFH999		COBOL
83	CRDTAGY4				COBOL
84	CRDTAGY4	WORKING-STORAGE			COBOL
85	CRDTAGY4	PREMIERE			COBOL
86	CRDTAGY4	PREMIERE	A010		COBOL
87	CRDTAGY4	PREMIERE	A999		COBOL
88	CRDTAGY4	GET-ME-OUT-OF-HERE			COBOL
89	CRDTAGY4	GET-ME-OUT-OF-HERE	GMOFH010		COBOL
90	CRDTAGY4	GET-ME-OUT-OF-HERE	GMOFH999		COBOL
91	CRDTAGY4	POPULATE-TIME-DATE			COBOL
92	CRDTAGY4	POPULATE-TIME-DATE	PTD010		COBOL
93	CRDTAGY4	POPULATE-TIME-DATE	PTD999		COBOL
94	INQACC				COBOL
95	INQACC	WORKING-STORAGE			COBOL
96	INQACC	PREMIERE			COBOL
97	INQACC	PREMIERE	A010		COBOL
98	INQACC	PREMIERE	A999		COBOL
99	INQACC	READ-ACCOUNT-DB2			COBOL
100	INQACC	READ-ACCOUNT-DB2	RAD010		COBOL
101	INQACC	READ-ACCOUNT-DB2	RAD999		COBOL
102	INQACC	FETCH-DATA			COBOL
103	INQACC	FETCH-DATA	FD010		COBOL
104	INQACC	FETCH-DATA	FD999		COBOL
105	INQACC	GET-ME-OUT-OF-HERE			COBOL
106	INQACC	GET-ME-OUT-OF-HERE	GMOFH010		COBOL
107	INQACC	GET-ME-OUT-OF-HERE	GMOFH999		COBOL
108	INQACC	CHECK-FOR-STORM-DRAIN-DB2			COBOL
109	INQACC	CHECK-FOR-STORM-DRAIN-DB2	CFSDCD010		COBOL
110	INQACC	CHECK-FOR-STORM-DRAIN-DB2	CFSDCD999		COBOL
111	INQACC	ABEND-HANDLING			COBOL
112	INQACC	ABEND-HANDLING	AH010		COBOL
113	INQACC	ABEND-HANDLING	AH999		COBOL
114	INQACC	READ-ACCOUNT-LAST			COBOL
115	INQACC	READ-ACCOUNT-LAST	RAN010		COBOL
116	INQACC	READ-ACCOUNT-LAST	RAN999		COBOL
117	INQACC	GET-LAST-ACCOUNT-DB2			COBOL
118	INQACC	GET-LAST-ACCOUNT-DB2	GLAD010		COBOL
119	INQACC	GET-LAST-ACCOUNT-DB2	GLAD999		COBOL
120	INQACC	POPULATE-TIME-DATE			COBOL
121	INQACC	POPULATE-TIME-DATE	PTD010		COBOL
122	INQACC	POPULATE-TIME-DATE	PTD999		COBOL
123	INQACC	LINKAGE			COBOL
124	BNK1UAC				COBOL
125	BNK1UAC	WORKING-STORAGE			COBOL
126	BNK1UAC	LINKAGE			COBOL
127	BNK1UAC	PREMIERE			COBOL
128	BNK1UAC	PREMIERE	A010		COBOL
129	BNK1UAC	PREMIERE	A999		COBOL
130	BNK1UAC	PROCESS-MAP			COBOL
131	BNK1UAC	PROCESS-MAP	PM010		COBOL
132	BNK1UAC	PROCESS-MAP	PM999		COBOL
133	BNK1UAC	RECEIVE-MAP			COBOL
134	BNK1UAC	RECEIVE-MAP	RM010		COBOL
135	BNK1UAC	RECEIVE-MAP	RM999		COBOL
136	BNK1UAC	EDIT-DATA			COBOL
137	BNK1UAC	EDIT-DATA	ED010		COBOL
138	BNK1UAC	EDIT-DATA	ED999		COBOL
139	BNK1UAC	VALIDATE-DATA			COBOL
140	BNK1UAC	VALIDATE-DATA	VD010		COBOL
141	BNK1UAC	VALIDATE-DATA	VD999		COBOL
142	BNK1UAC	INQ-ACC-DATA			COBOL
143	BNK1UAC	INQ-ACC-DATA	IAD010		COBOL
144	BNK1UAC	INQ-ACC-DATA	IAD999		COBOL
145	BNK1UAC	UPD-ACC-DATA			COBOL
146	BNK1UAC	UPD-ACC-DATA	UAD010		COBOL
147	BNK1UAC	UPD-ACC-DATA	UAD999		COBOL
148	BNK1UAC	SEND-MAP			COBOL
149	BNK1UAC	SEND-MAP	SM010		COBOL
150	BNK1UAC	SEND-MAP	SM999		COBOL
151	BNK1UAC	SEND-TERMINATION-MSG			COBOL
152	BNK1UAC	SEND-TERMINATION-MSG	STM010		COBOL
153	BNK1UAC	SEND-TERMINATION-MSG	STM999		COBOL
154	BNK1UAC	ABEND-THIS-TASK			COBOL
155	BNK1UAC	ABEND-THIS-TASK	ATT010		COBOL
156	BNK1UAC	ABEND-THIS-TASK	ATT999		COBOL
157	BNK1UAC	POPULATE-TIME-DATE			COBOL
158	BNK1UAC	POPULATE-TIME-DATE	PTD010		COBOL
159	BNK1UAC	POPULATE-TIME-DATE	PTD999		COBOL
160	DELCUS				COBOL
161	DELCUS	WORKING-STORAGE			COBOL
162	DELCUS	LINKAGE			COBOL
163	DELCUS	PREMIERE			COBOL
164	DELCUS	PREMIERE	A010		COBOL
165	DELCUS	PREMIERE	A999		COBOL
166	DELCUS	DELETE-ACCOUNTS			COBOL
167	DELCUS	DELETE-ACCOUNTS	DA010		COBOL
168	DELCUS	DELETE-ACCOUNTS	DA999		COBOL
169	DELCUS	GET-ACCOUNTS			COBOL
170	DELCUS	GET-ACCOUNTS	GAC010		COBOL
171	DELCUS	GET-ACCOUNTS	GAC999		COBOL
172	DELCUS	DEL-CUST-VSAM			COBOL
173	DELCUS	DEL-CUST-VSAM	DCV010		COBOL
174	DELCUS	DEL-CUST-VSAM	DCV999		COBOL
175	DELCUS	WRITE-PROCTRAN-CUST			COBOL
