Program	LoC	LoCmt	rLoC	pfpa	pmccabe	records	variables	calls	performs	errorstats
BNK1CCA	1042	163	705	208.08	27	105	224	0	22	0|0|181|3|464
BNK1DAC	1248	188	862	288.72	34	143	287	0	26	0|0|267|3|619
ACCTCTRL	287	23	190	19.06	2	66	136	0	2	0|0|4|3|159
CRDTAGY4	323	49	209	44.14	4	44	111	0	4	0|0|22|2|144
INQACC	1078	165	725	192.66	16	96	231	0	14	0|1|175|5|439
BNK1UAC	1497	216	1049	408.64	48	127	289	0	27	0|0|300|2|730
DELCUS	835	102	571	139.44	12	113	260	0	9	0|0|105|9|376
GETSCODE	93	12	61	3.76	1	11	43	0	0	0|0|2|2|47
CRECUST	1514	222	1010	297.28	52	143	341	2	31	0|0|159|8|689
CREACC	1320	176	893	252.08	34	124	286	0	25	0|0|169|11|590
CRDTAGY1	320	49	209	44.14	4	44	111	0	4	0|0|22|2|144
UPDACC	482	138	269	56.50	4	73	155	0	2	0|0|31|5|203
DELACC	723	98	498	119.14	8	95	246	0	7	0|0|117|8|331
UPDCUST	411	78	245	60.64	20	47	128	0	2	0|0|55|4|200
CRDTAGY2	320	49	209	44.14	4	44	111	0	4	0|0|22|2|144
BNK1CCS	1749	230	1233	424.46	105	115	271	0	42	0|0|423|2|891
CRDTAGY3	319	49	209	44.14	4	44	111	0	4	0|0|22|2|144
BNK1CRA	1258	188	865	281.00	38	118	245	0	23	0|0|203|2|579
CRDTAGY5	322	49	209	44.14	4	44	111	0	4	0|0|22|2|144
INQCUST	757	129	492	153.32	31	57	181	0	10	0|1|108|4|345
CUSTCTRL	307	26	204	27.08	4	63	137	0	2	0|0|11|3|159
ABNDPROC	223	25	147	12.48	2	56	108	0	1	0|0|2|1|122
XFRFUN	2025	351	1304	349.44	44	126	268	0	28	0|0|328|8|734
BNK1CAC	1389	197	980	318.52	65	117	247	0	22	0|0|267|2|667
INQACCCU	956	146	631	152.48	21	94	209	0	12	0|0|126|7|395
BANKDATA	1537	218	1087	343.80	31	147	300	2	22	0|0|48|6|794
GETCOMPY	89	12	59	3.50	1	11	42	0	0	0|0|1|1|46
DBCRFUN	935	205	566	129.42	21	89	200	0	9	0|0|81|7|361
BNK1DCS	2197	385	1435	544.04	61	176	389	0	60	0|0|539|5|1015
BNKMENU	1401	233	917	314.92	34	79	173	0	37	0|0|302|2|558
BNK1TFN	1316	209	902	300.24	41	112	242	0	23	0|0|224|2|609
