Program	SlocDecl	SlocRead	SlocWrite	SLOCControl	SlocInnerCall	SlocExtCall	SlocIMSCall	SlocSQLCall	SlocOtherCall	SlocNamed
BNK1CCA	162	121	201	43	25	0	0	0	0	
BNK1DAC	197	140	296	59	34	0	0	0	0	
ACCTCTRL	121	5	13	1	2	0	0	1	0	
CRDTAGY4	85	28	42	6	4	0	0	0	0	
INQACC	151	161	201	14	15	0	0	5	0	
BNK1UAC	195	217	397	110	39	0	0	0	0	
DELCUS	190	85	138	25	10	0	0	0	0	
GETSCODE	39	1	2	0	0	0	0	0	0	
CRECUST	252	167	270	76	35	2	0	0	0	
CREACC	207	197	256	27	25	0	0	2	0	
CRDTAGY1	85	28	42	6	4	0	0	0	0	
UPDACC	123	40	54	4	5	0	0	1	0	
DELACC	159	101	122	8	8	0	0	1	0	
UPDCUST	96	16	53	22	5	0	0	0	0	
CRDTAGY2	85	28	42	6	4	0	0	0	0	
BNK1CCS	169	166	446	93	59	0	0	0	0	
CRDTAGY3	85	28	42	6	4	0	0	0	0	
BNK1CRA	183	133	286	54	40	0	0	0	0	
CRDTAGY5	85	28	42	6	4	0	0	0	0	
INQCUST	118	49	123	65	19	0	0	0	0	
CUSTCTRL	118	1	20	9	2	0	0	0	0	
ABNDPROC	100	3	6	2	1	0	0	0	0	
XFRFUN	202	286	336	53	37	0	0	2	0	
BNK1CAC	173	135	347	60	37	0	0	0	0	
INQACCCU	148	103	144	23	18	0	0	4	0	
BANKDATA	248	204	394	38	23	2	0	3	0	
GETCOMPY	39	0	2	0	0	0	0	0	0	
DBCRFUN	149	94	112	27	14	0	0	1	0	
BNK1DCS	235	306	566	93	72	0	0	0	0	
BNKMENU	122	184	319	62	39	0	0	0	0	
BNK1TFN	178	142	308	56	44	0	0	0	0	
