ExtID	Table	Column	SQLtype	PhysTable	Comment
SQL001000	ACCOUNT		TABLE/VIEW		
SQL001001	ACCOUNT	ACCOUNT_SORTCODE	<UNDEF>		
SQL001002	ACCOUNT	ACCOUNT_EYECATCHER	<UNDEF>		
SQL001003	ACCOUNT	ACCOUNT_CUSTOMER_NUMBER	<UNDEF>		
SQL001004	ACCOUNT	ACCOUNT_NUMBER	<UNDEF>		
SQL001005	ACCOUNT	ACCOUNT_TYPE	<UNDEF>		
SQL001006	ACCOUNT	ACCOUNT_INTEREST_RATE	<UNDEF>		
SQL001007	ACCOUNT	ACCOUNT_OPENED	<UNDEF>		
SQL001008	ACCOUNT	ACCOUNT_OVERDRAFT_LIMIT	<UNDEF>		
SQL001009	ACCOUNT	ACCOUNT_LAST_STATEMENT	<UNDEF>		
SQL001010	ACCOUNT	ACCOUNT_NEXT_STATEMENT	<UNDEF>		
SQL001011	ACCOUNT	ACCOUNT_AVAILABLE_BALANCE	<UNDEF>		
SQL001012	ACCOUNT	ACCOUNT_ACTUAL_BALANCE	<UNDEF>		
SQL002000	PROCTRAN		TABLE/VIEW		
SQL002001	PROCTRAN	PROCTRAN_EYECATCHER	<UNDEF>		
SQL002002	PROCTRAN	PROCTRAN_SORTCODE	<UNDEF>		
SQL002003	PROCTRAN	PROCTRAN_NUMBER	<UNDEF>		
SQL002004	PROCTRAN	PROCTRAN_DATE	<UNDEF>		
SQL002005	PROCTRAN	PROCTRAN_TIME	<UNDEF>		
SQL002006	PROCTRAN	PROCTRAN_REF	<UNDEF>		
SQL002007	PROCTRAN	PROCTRAN_TYPE	<UNDEF>		
SQL002008	PROCTRAN	PROCTRAN_DESC	<UNDEF>		
SQL002009	PROCTRAN	PROCTRAN_AMOUNT	<UNDEF>		
SQL003000	CONTROL		TABLE/VIEW		
SQL003001	CONTROL	CONTROL_NAME	<UNDEF>		
SQL003002	CONTROL	CONTROL_VALUE_NUM	<UNDEF>		
SQL003003	CONTROL	CONTROL_VALUE_STR	<UNDEF>		
