SrcID	SourceFile	Usage	RecordNumber	CommentNumber	RelevantNumber	Module
1	/projects/cics-banking-sample-application-cbsa/src/base/cobol_src/BNK1CCA.cbl	CBL	952	150	631	BNK1CCA.cbl
2	%ITP%/Include/MACLIB/DEFVAR.CPY	CPY	46	6	37	DEFVAR.CPY
3	BNK1ACC.CPY	<MISSING>	0	0	0	BNK1ACC.CPY
4	%ITP%/Include/MACLIB/DFHAID.CPY	CPY	44	7	37	DFHAID.CPY
5	INQACCCU.CPY	<MISSING>	0	0	0	INQACCCU.CPY
6	ABNDINFO.CPY	<MISSING>	0	0	0	ABNDINFO.CPY
7	/projects/cics-banking-sample-application-cbsa/src/base/cobol_src/BNK1DAC.cbl	CBL	1158	175	788	BNK1DAC.cbl
8	BNK1DAM.CPY	<MISSING>	0	0	0	BNK1DAM.CPY
9	INQACC.CPY	<MISSING>	0	0	0	INQACC.CPY
10	/projects/cics-banking-sample-application-cbsa/src/base/cobol_src/ACCTCTRL.cbl	CBL	213	14	129	ACCTCTRL.cbl
11	%ITP%/Include/MACLIB/SQLCA.CPY	CPY	28	3	24	SQLCA.CPY
12	SORTCODE.CPY	<MISSING>	0	0	0	SORTCODE.CPY
13	ACCTCTRL.CPY	<MISSING>	0	0	0	ACCTCTRL.CPY
14	/projects/cics-banking-sample-application-cbsa/src/base/cobol_src/CRDTAGY4.cbl	CBL	277	43	172	CRDTAGY4.cbl
15	/projects/cics-banking-sample-application-cbsa/src/base/cobol_src/INQACC.cbl	CBL	1004	156	664	INQACC.cbl
16	ACCDB2.CPY	<MISSING>	0	0	0	ACCDB2.CPY
17	ACCOUNT.CPY	<MISSING>	0	0	0	ACCOUNT.CPY
18	/projects/cics-banking-sample-application-cbsa/src/base/cobol_src/BNK1UAC.cbl	CBL	1407	203	975	BNK1UAC.cbl
19	BNK1UAM.CPY	<MISSING>	0	0	0	BNK1UAM.CPY
20	/projects/cics-banking-sample-application-cbsa/src/base/cobol_src/DELCUS.cbl	CBL	761	93	510	DELCUS.cbl
21	PROCDB2.CPY	<MISSING>	0	0	0	PROCDB2.CPY
22	CUSTOMER.CPY	<MISSING>	0	0	0	CUSTOMER.CPY
23	PROCTRAN.CPY	<MISSING>	0	0	0	PROCTRAN.CPY
24	INQCUST.CPY	<MISSING>	0	0	0	INQCUST.CPY
25	DELCUS.CPY	<MISSING>	0	0	0	DELCUS.CPY
26	/projects/cics-banking-sample-application-cbsa/src/base/cobol_src/GETSCODE.cbl	CBL	47	6	24	GETSCODE.cbl
27	GETSCODE.CPY	<MISSING>	0	0	0	GETSCODE.CPY
28	/projects/cics-banking-sample-application-cbsa/src/base/cobol_src/CRECUST.cbl	CBL	1440	213	949	CRECUST.cbl
29	CEEIGZCT.CPY	<MISSING>	0	0	0	CEEIGZCT.CPY
30	CUSTCTRL.CPY	<MISSING>	0	0	0	CUSTCTRL.CPY
31	CRECUST.CPY	<MISSING>	0	0	0	CRECUST.CPY
32	/projects/cics-banking-sample-application-cbsa/src/base/cobol_src/CREACC.cbl	CBL	1247	167	832	CREACC.cbl
33	CREACC.CPY	<MISSING>	0	0	0	CREACC.CPY
34	/projects/cics-banking-sample-application-cbsa/src/base/cobol_src/CRDTAGY1.cbl	CBL	274	43	172	CRDTAGY1.cbl
35	/projects/cics-banking-sample-application-cbsa/src/base/cobol_src/UPDACC.cbl	CBL	408	129	208	UPDACC.cbl
36	UPDACC.CPY	<MISSING>	0	0	0	UPDACC.CPY
37	/projects/cics-banking-sample-application-cbsa/src/base/cobol_src/DELACC.cbl	CBL	649	89	437	DELACC.cbl
38	DELACC.CPY	<MISSING>	0	0	0	DELACC.CPY
39	/projects/cics-banking-sample-application-cbsa/src/base/cobol_src/UPDCUST.cbl	CBL	365	72	208	UPDCUST.cbl
40	UPDCUST.CPY	<MISSING>	0	0	0	UPDCUST.CPY
41	/projects/cics-banking-sample-application-cbsa/src/base/cobol_src/CRDTAGY2.cbl	CBL	274	43	172	CRDTAGY2.cbl
42	/projects/cics-banking-sample-application-cbsa/src/base/cobol_src/BNK1CCS.cbl	CBL	1659	217	1159	BNK1CCS.cbl
43	BNK1CCM.CPY	<MISSING>	0	0	0	BNK1CCM.CPY
44	/projects/cics-banking-sample-application-cbsa/src/base/cobol_src/CRDTAGY3.cbl	CBL	273	43	172	CRDTAGY3.cbl
45	/projects/cics-banking-sample-application-cbsa/src/base/cobol_src/BNK1CRA.cbl	CBL	1168	175	791	BNK1CRA.cbl
46	BNK1CDM.CPY	<MISSING>	0	0	0	BNK1CDM.CPY
47	/projects/cics-banking-sample-application-cbsa/src/base/cobol_src/CRDTAGY5.cbl	CBL	276	43	172	CRDTAGY5.cbl
48	/projects/cics-banking-sample-application-cbsa/src/base/cobol_src/INQCUST.cbl	CBL	711	123	455	INQCUST.cbl
49	/projects/cics-banking-sample-application-cbsa/src/base/cobol_src/CUSTCTRL.cbl	CBL	233	17	143	CUSTCTRL.cbl
50	/projects/cics-banking-sample-application-cbsa/src/base/cobol_src/ABNDPROC.cbl	CBL	177	19	110	ABNDPROC.cbl
51	/projects/cics-banking-sample-application-cbsa/src/base/cobol_src/XFRFUN.cbl	CBL	1924	342	1217	XFRFUN.cbl
52	%ITP%/Include/MACLIB/SQLDA.CPY	CPY	27	0	26	SQLDA.CPY
53	XFRFUN.CPY	<MISSING>	0	0	0	XFRFUN.CPY
54	/projects/cics-banking-sample-application-cbsa/src/base/cobol_src/BNK1CAC.cbl	CBL	1299	184	906	BNK1CAC.cbl
55	BNK1CAM.CPY	<MISSING>	0	0	0	BNK1CAM.CPY
