VarHelpID	EMULabel	Level	Type	Occurs	Picture	PointedBy	Record	Redefines	Parent	Length
1		<none>	Code	0	PROGRAM		BNK1CCA			0
2		01	Bin Fix	1	S9(4) COMP-4		RETURN-CODE			2
3		01	Bin Fix	1	S9(8) COMP-4		SORT-CORE-SIZE			4
4		01	Bin Fix	1	S9(8) COMP-4		SORT-MODE-SIZE			4
5		01	Bin Fix	1	S9(8) COMP-4		SORT-FILE-SIZE			4
6		01	Bin Fix	1	S9(8) COMP-4		SORT-RETURN			4
7		01	Bin Fix	1	S9(5) COMP-4		TALLY			4
8		01	Display	1	X		SHIFT-OUT			1
9		01	Display	1	X		SHIFT-IN			1
10		01	Display	1	X(8)		SORT-CONTROL			8
11		01	Display	1	X(8)		SORT-MESSAGE			8
12		01	Display	1	X(6)		TIME-OF-DAY			6
13		01	Display	1	X(16)		WHEN-COMPILED			16
14		01	Disp-Num	1	9		SQL-INIT-FLAG			1
15		01	Packed-Dec	1	S9(7) COMP-3		SORT-EOW			4
16		01	Group	1			DEBUG-ITEM			63
17		02	Display	1	X(6)		DEBUG-ITEM		DEBUG-ITEM	6
18		02	Display	1	X		DEBUG-ITEM		DEBUG-ITEM	1
19		02	Display	1	X(36)		DEBUG-ITEM		DEBUG-ITEM	36
20		02	Disp-Num	1	S9999 SLS		DEBUG-ITEM		DEBUG-ITEM	5
21		01	Bin Fix	1	S9(9) COMP-4		JSON-CODE			4
22		01	Bin Fix	1	S9(9) COMP-4		JSON-STATUS			4
23		01	Bin Fix	1	S9(9) COMP-4		XML-CODE			4
24		01	Display	1	X(30)		XML-EVENT			30
25		01	Group	1			XML-NTEXT			0
26		01	Group	1			XML-TEXT			0
27		01	Group	1			XML-NAMESPACE			0
28		01	Group	1			XML-NNAMESPACE			0
29		01	Group	1			XML-NAMESPACE-PREFIX			0
30		01	Group	1			XML-NNAMESPACE-PREFIX			0
31		01	Bin Fix	1	S9(9) COMP-4		XML-INFORMATION			4
32		01	Group	1			WS-CICS-WORK-AREA			8
33		03	Bin Fix	1	S9(8) COMP-4		WS-CICS-WORK-AREA		WS-CICS-WORK-AREA	4
34		01	Group	1			WS-FAIL-INFO			127
35		03	Display	1	X(9)		WS-FAIL-INFO		WS-FAIL-INFO	9
36		03	Display	1	X(70)		WS-FAIL-INFO		WS-FAIL-INFO	70
37		03	Display	1	X(6)		WS-FAIL-INFO		WS-FAIL-INFO	6
38		03	Disp-Num	1	9(10)		WS-FAIL-INFO		WS-FAIL-INFO	10
39		03	Display	1	X(7)		WS-FAIL-INFO		WS-FAIL-INFO	7
40		03	Display	1	X(15)		WS-FAIL-INFO		WS-FAIL-INFO	15
41		01	Group	1			SWITCHES			1
42		03	Display	1	X		SWITCHES		SWITCHES	1
43		88	Named Cond	0	X	VALID-DATA-SW	SWITCHES		VALID-DATA-SW	1
44		01	Group	1			FLAGS			1
45		03	Display	1	X		FLAGS		FLAGS	1
46		88	Named Cond	0	X	SEND-FLAG	FLAGS		SEND-FLAG	1
47		01	Group	1			ACTION-ALPHA			1
48		03	Disp-Num	1	9		ACTION-ALPHA		ACTION-ALPHA	1
49		01	Display	1	X(13)		END-OF-SESSION-MESSAGE			13
50		01	Bin Fix	1	S9(8) COMP-4		RESPONSE-CODE			4
51		01	Display	1	X		COMMUNICATION-AREA			1
52		01	Group	1			DFHAID			36
53		02	Display	1	X		DFHAID		DFHAID	1
54		01	Group	1			COMM-DOB-SPLIT			8
55		03	Disp-Num	1	99		COMM-DOB-SPLIT		COMM-DOB-SPLIT	2
56		03	Disp-Num	1	9999		COMM-DOB-SPLIT		COMM-DOB-SPLIT	4
57		01	Group	1			COMM-ADDR-SPLIT			160
58		03	Display	1	X(60)		COMM-ADDR-SPLIT		COMM-ADDR-SPLIT	60
59		03	Display	1	X(40)		COMM-ADDR-SPLIT		COMM-ADDR-SPLIT	40
60		01	Group	1			WS-COMM-AREA			248
61		03	Display	1	X(4)		WS-COMM-AREA		WS-COMM-AREA	4
62		03	Display	1	X(6)		WS-COMM-AREA		WS-COMM-AREA	6
63		03	Display	1	X(10)		WS-COMM-AREA		WS-COMM-AREA	10
64		03	Display	1	X(60)		WS-COMM-AREA		WS-COMM-AREA	60
65		03	Display	1	X(160)		WS-COMM-AREA		WS-COMM-AREA	160
66		03	Disp-Num	1	9(8)		WS-COMM-AREA		WS-COMM-AREA	8
67		01	Group	1			WS-CONVERSION			24
68		03	Disp-Num	1	9(10)V99		WS-CONVERSION		WS-CONVERSION	12
69		03	Group	1			WS-CONVERSION	WS-AVAIL-BAL-9	WS-CONVERSION	12
70		05	Display	1	X(10)		WS-CONVERSION		WS-AVAIL-BAL-CONV-X	10
71		05	Display	1	X(2)		WS-CONVERSION		WS-AVAIL-BAL-CONV-X	2
72		03	Group	1			WS-CONVERSION	WS-ACT-BAL-9	WS-CONVERSION	12
73		05	Display	1	X(10)		WS-CONVERSION		WS-ACT-BAL-CONV-X	10
74		05	Display	1	X(2)		WS-CONVERSION		WS-ACT-BAL-CONV-X	2
75		01	Display	1	X(8)		INQACCCU-PROGRAM			8
76		01	Group	1			INQACCCU-COMMAREA			0
77		01	Bin Fix	1	S9(8) COMP-4		WS-INDEX			4
78		01	Display	1	X(6)		SCODE-CHAR			6
79		01	Display	1	X(8)		ACCNO-CHAR			8
80		01	Num-Edit	1	Z9		NUMBER-OF-ACCOUNTS-DISPLAY			2
81		01	Display	1	X		WS-AVAIL-BAL-SIGN			1
82		01	Display	1	X		WS-ACT-BAL-SIGN			1
83		01	Display	1	X(16)		DUMP-TITLE			16
84		01	Display	1	X(32)		COMPANY-NAME-FULL			32
85		01	Packed-Dec	1	S9(15) COMP-3		WS-U-TIME			8
86		01	Display	1	X(10)		WS-ORIG-DATE			10
87		01	Group	1			WS-ORIG-DATE-GRP	WS-ORIG-DATE	WS-ORIG-DATE	10
