VarID	VarHelpID	Symbol	Offset	Padding	ParentID	RecordID	TypeID
1	1	BNK1CCA	0	0		1	
2	2	RETURN-CODE	0	0		2	2
3	3	SORT-CORE-SIZE	0	0		3	4
4	4	SORT-MODE-SIZE	0	0		4	4
5	5	SORT-FILE-SIZE	0	0		5	4
6	6	SORT-RETURN	0	0		6	4
7	7	TALLY	0	0		7	4
8	8	SHIFT-OUT	0	0		8	1
9	9	SHIFT-IN	0	0		9	1
10	10	SORT-CONTROL	0	0		10	8
11	11	SORT-MESSAGE	0	0		11	8
12	12	TIME-OF-DAY	0	0		12	6
13	13	WHEN-COMPILED	0	0		13	16
14	14	SQL-INIT-FLAG	0	0		14	1
15	15	SORT-EOW	0	0		15	4
16	16	DEBUG-ITEM	0	0		16	
17	17	DEBUG-LINE	0	0	16	16	6
18	18	FILLER	6	0	16	16	1
19	19	DEBUG-NAME	7	0	16	16	36
20	18	FILLER	43	0	16	16	1
21	20	DEBUG-SUB-1	44	0	16	16	5
22	18	FILLER	49	0	16	16	1
23	20	DEBUG-SUB-2	50	0	16	16	5
24	18	FILLER	55	0	16	16	1
25	20	DEBUG-SUB-3	56	0	16	16	5
26	18	FILLER	61	0	16	16	1
27	18	DEBUG-CONTENTS	62	0	16	16	1
28	21	JSON-CODE	0	0		28	4
29	22	JSON-STATUS	0	0		29	4
30	23	XML-CODE	0	0		30	4
31	24	XML-EVENT	0	0		31	30
32	25	XML-NTEXT	0	0		32	
33	26	XML-TEXT	0	0		33	
34	27	XML-NAMESPACE	0	0		34	
35	28	XML-NNAMESPACE	0	0		35	
36	29	XML-NAMESPACE-PREFIX	0	0		36	
37	30	XML-NNAMESPACE-PREFIX	0	0		37	
38	31	XML-INFORMATION	0	0		38	4
39	32	WS-CICS-WORK-AREA	0	0		39	
40	33	WS-CICS-RESP	0	0	39	39	4
41	33	WS-CICS-RESP2	4	0	39	39	4
42	34	WS-FAIL-INFO	0	0		42	
43	35	FILLER	0	0	42	42	9
44	36	WS-CICS-FAIL-MSG	9	0	42	42	70
45	37	FILLER	79	0	42	42	6
46	38	WS-CICS-RESP-DISP	85	0	42	42	10
47	39	FILLER	95	0	42	42	7
48	38	WS-CICS-RESP2-DISP	102	0	42	42	10
49	40	FILLER	112	0	42	42	15
50	41	SWITCHES	0	0		50	
51	42	VALID-DATA-SW	0	0	50	50	1
52	43	VALID-DATA	0	0	51	50	1
53	44	FLAGS	0	0		53	
54	45	SEND-FLAG	0	0	53	53	1
55	46	SEND-ERASE	0	0	54	53	1
56	46	SEND-DATAONLY	0	0	54	53	1
57	46	SEND-DATAONLY-ALARM	0	0	54	53	1
58	47	ACTION-ALPHA	0	0		58	
59	48	ACTION-NUM	0	0	58	58	1
60	49	END-OF-SESSION-MESSAGE	0	0		60	13
61	50	RESPONSE-CODE	0	0		61	4
62	51	COMMUNICATION-AREA	0	0		62	1
63	52	DFHAID	0	0		63	
64	53	DFHNULL	0	0	63	63	1
65	53	DFHENTER	1	0	63	63	1
66	53	DFHCLEAR	2	0	63	63	1
67	53	DFHCLRP	3	0	63	63	1
68	53	DFHPEN	4	0	63	63	1
69	53	DFHOPID	5	0	63	63	1
70	53	DFHMSRE	6	0	63	63	1
71	53	DFHSTRF	7	0	63	63	1
72	53	DFHTRIG	8	0	63	63	1
73	53	DFHPA1	9	0	63	63	1
74	53	DFHPA2	10	0	63	63	1
75	53	DFHPA3	11	0	63	63	1
76	53	DFHPF1	12	0	63	63	1
77	53	DFHPF2	13	0	63	63	1
78	53	DFHPF3	14	0	63	63	1
79	53	DFHPF4	15	0	63	63	1
80	53	DFHPF5	16	0	63	63	1
81	53	DFHPF6	17	0	63	63	1
82	53	DFHPF7	18	0	63	63	1
83	53	DFHPF8	19	0	63	63	1
84	53	DFHPF9	20	0	63	63	1
85	53	DFHPF10	21	0	63	63	1
86	53	DFHPF11	22	0	63	63	1
87	53	DFHPF12	23	0	63	63	1
88	53	DFHPF13	24	0	63	63	1
89	53	DFHPF14	25	0	63	63	1
90	53	DFHPF15	26	0	63	63	1
91	53	DFHPF16	27	0	63	63	1
92	53	DFHPF17	28	0	63	63	1
93	53	DFHPF18	29	0	63	63	1
94	53	DFHPF19	30	0	63	63	1
95	53	DFHPF20	31	0	63	63	1
96	53	DFHPF21	32	0	63	63	1
97	53	DFHPF22	33	0	63	63	1
98	53	DFHPF23	34	0	63	63	1
99	53	DFHPF24	35	0	63	63	1
100	54	COMM-DOB-SPLIT	0	0		100	
101	55	COMM-DOB-SPLIT-DD	0	0	100	100	2
102	55	COMM-DOB-SPLIT-MM	2	0	100	100	2
103	56	COMM-DOB-SPLIT-YYYY	4	0	100	100	4
104	57	COMM-ADDR-SPLIT	0	0		104	
105	58	COMM-ADDR-SPLIT1	0	0	104	104	60
106	58	COMM-ADDR-SPLIT2	60	0	104	104	60
107	59	COMM-ADDR-SPLIT3	120	0	104	104	40
108	60	WS-COMM-AREA	0	0		108	
109	61	WS-COMM-EYE	0	0	108	108	4
110	62	WS-COMM-SCODE	4	0	108	108	6
111	63	WS-COMM-CUSTNO	10	0	108	108	10
112	64	WS-COMM-NAME	20	0	108	108	60
113	65	WS-COMM-ADDR	80	0	108	108	160
114	66	WS-COMM-DOB	240	0	108	108	8
115	67	WS-CONVERSION	0	0		115	
116	68	WS-AVAIL-BAL-9	0	0	115	115	12
117	69	WS-AVAIL-BAL-CONV-X	0	0	115	115	
118	70	WS-AVAIL-BAL-X-PND	0	0	117	115	10
119	71	WS-AVAIL-BAL-X-PNCE	10	0	117	115	2
120	68	WS-ACT-BAL-9	12	0	115	115	12
121	72	WS-ACT-BAL-CONV-X	12	0	115	115	
122	73	WS-ACT-BAL-X-PND	12	0	121	115	10
123	74	WS-ACT-BAL-X-PNCE	22	0	121	115	2
124	75	INQACCCU-PROGRAM	0	0		124	8
125	76	INQACCCU-COMMAREA	0	0		125	
126	77	WS-INDEX	0	0		126	4
127	78	SCODE-CHAR	0	0		127	6
128	79	ACCNO-CHAR	0	0		128	8
129	80	NUMBER-OF-ACCOUNTS-DISPLAY	0	0		129	2
130	81	WS-AVAIL-BAL-SIGN	0	0		130	1
131	82	WS-ACT-BAL-SIGN	0	0		131	1
132	83	DUMP-TITLE	0	0		132	16
133	84	COMPANY-NAME-FULL	0	0		133	32
134	85	WS-U-TIME	0	0		134	8
135	86	WS-ORIG-DATE	0	0		135	10
136	87	WS-ORIG-DATE-GRP	0	0	135	135	
137	88	WS-ORIG-DATE-DD	0	0	136	136	2
138	89	FILLER	2	0	136	136	1
139	88	WS-ORIG-DATE-MM	3	0	136	136	2
140	89	FILLER	5	0	136	136	1
141	90	WS-ORIG-DATE-YYYY	6	0	136	136	4
142	91	WS-ORIG-DATE-GRP-X	0	0		142	
143	92	WS-ORIG-DATE-DD-X	0	0	142	142	2
144	93	FILLER	2	0	142	142	1
145	92	WS-ORIG-DATE-MM-X	3	0	142	142	2
146	93	FILLER	5	0	142	142	1
147	94	WS-ORIG-DATE-YYYY-X	6	0	142	142	4
148	95	WS-TIME-DATA	0	0		148	
149	96	WS-TIME-NOW	0	0	148	148	6
150	97	WS-TIME-NOW-GRP	0	0	148	148	
151	98	WS-TIME-NOW-GRP-HH	0	0	150	148	2
152	98	WS-TIME-NOW-GRP-MM	2	0	150	148	2
153	98	WS-TIME-NOW-GRP-SS	4	0	150	148	2
154	99	WS-ABEND-PGM	0	0		154	8
155	100	ABNDINFO-REC	0	0		155	
156	101	DFHCOMMAREA	0	0		156	
157	102	COMM-EYE	0	0	156	156	4
158	103	COMM-SCODE	4	0	156	156	6
159	104	COMM-CUSTNO	10	0	156	156	10
160	105	COMM-NAME	20	0	156	156	60
161	106	COMM-ADDR	80	0	156	156	160
162	107	COMM-DOB	240	0	156	156	8
163	108	PREMIERE	0	0		163	
164	109	A010	0	0		164	
165	110	EIBCALEN ??	<undef>	0			
166	110	BNK1ACCO ??	<undef>	0			
167	110	CUSTNOL ??	<undef>	0			
168	111	SEND-MAP	0	0		168	
169	110	EIBAID ??	<undef>	0			
170	112	SEND-TERMINATION-MSG	0	0		170	
171	113	PROCESS-MAP	0	0		171	
172	110	MESSAGEO ??	<undef>	0			
173	110	DFHRESP ??	<undef>	0			
174	110	EIBRESP ??	<undef>	0			
175	110	ABND-RESPCODE ??	<undef>	0			
176	110	EIBRESP2 ??	<undef>	0			
177	110	ABND-RESP2CODE ??	<undef>	0			
178	110	ABND-APPLID ??	<undef>	0			
179	110	EIBTASKN ??	<undef>	0			
180	110	ABND-TASKNO-KEY ??	<undef>	0			
181	110	EIBTRNID ??	<undef>	0			
182	110	ABND-TRANID ??	<undef>	0			
183	114	POPULATE-TIME-DATE	0	0		183	
184	110	ABND-DATE ??	<undef>	0			
185	110	ABND-TIME ??	<undef>	0			
186	110	ABND-UTIME-KEY ??	<undef>	0			
187	110	ABND-CODE ??	<undef>	0			
188	110	ABND-PROGRAM ??	<undef>	0			
189	110	ABND-SQLCODE ??	<undef>	0			
190	110	ABND-FREEFORM ??	<undef>	0			
191	115	ABEND-THIS-TASK	0	0		191	
192	116	A999	0	0		192	
193	117	PM010	0	0		193	
194	118	RECEIVE-MAP	0	0		194	
195	119	EDIT-DATA	0	0		195	
196	120	GET-CUST-DATA	0	0		196	
197	121	PM999	0	0		197	
198	122	RM010	0	0		198	
199	110	BNK1ACCI ??	<undef>	0			
200	123	RM999	0	0		200	
201	124	ED010	0	0		201	
202	110	CUSTNOI ??	<undef>	0			
203	125	ED999	0	0		203	
204	126	GCD010	0	0		204	
205	110	NUMBER-OF-ACCOUNTS ??	<undef>	0			
206	110	COMM-SUCCESS ??	<undef>	0			
207	110	CUSTOMER-NUMBER ??	<undef>	0			
208	110	COMM-PCB-POINTER ??	<undef>	0			
209	110	CUSTOMER-FOUND ??	<undef>	0			
210	110	ACCOUNTO ??	<undef>	0			
211	127	GCD999	0	0		211	
212	110	COMM-SCODE ??	<undef>	0			
213	110	COMM-ACCNO ??	<undef>	0			
214	110	COMM-AVAIL-BAL ??	<undef>	0			
215	110	COMM-ACTUAL-BAL ??	<undef>	0			
216	110	COMM-ACC-TYPE ??	<undef>	0			
217	128	SM010	0	0		217	
218	129	SM999	0	0		218	
219	130	STM010	0	0		219	
220	131	STM999	0	0		220	
221	132	ATT010	0	0		221	
222	133	ATT999	0	0		222	
223	134	PTD010	0	0		223	
224	135	PTD999	0	0		224	
225	136	BNK1DAC	0	0		225	
226	2	RETURN-CODE	0	0		226	2
227	3	SORT-CORE-SIZE	0	0		227	4
228	4	SORT-MODE-SIZE	0	0		228	4
229	5	SORT-FILE-SIZE	0	0		229	4
230	6	SORT-RETURN	0	0		230	4
231	7	TALLY	0	0		231	4
232	8	SHIFT-OUT	0	0		232	1
233	9	SHIFT-IN	0	0		233	1
234	10	SORT-CONTROL	0	0		234	8
235	11	SORT-MESSAGE	0	0		235	8
236	12	TIME-OF-DAY	0	0		236	6
237	13	WHEN-COMPILED	0	0		237	16
238	14	SQL-INIT-FLAG	0	0		238	1
239	15	SORT-EOW	0	0		239	4
240	16	DEBUG-ITEM	0	0		240	
241	17	DEBUG-LINE	0	0	240	240	6
242	18	FILLER	6	0	240	240	1
243	19	DEBUG-NAME	7	0	240	240	36
244	18	FILLER	43	0	240	240	1
245	20	DEBUG-SUB-1	44	0	240	240	5
246	18	FILLER	49	0	240	240	1
247	20	DEBUG-SUB-2	50	0	240	240	5
248	18	FILLER	55	0	240	240	1
249	20	DEBUG-SUB-3	56	0	240	240	5
250	18	FILLER	61	0	240	240	1
251	18	DEBUG-CONTENTS	62	0	240	240	1
252	21	JSON-CODE	0	0		252	4
253	22	JSON-STATUS	0	0		253	4
254	23	XML-CODE	0	0		254	4
255	24	XML-EVENT	0	0		255	30
256	25	XML-NTEXT	0	0		256	
257	26	XML-TEXT	0	0		257	
258	27	XML-NAMESPACE	0	0		258	
259	28	XML-NNAMESPACE	0	0		259	
260	29	XML-NAMESPACE-PREFIX	0	0		260	
261	30	XML-NNAMESPACE-PREFIX	0	0		261	
262	31	XML-INFORMATION	0	0		262	4
263	32	WS-CICS-WORK-AREA	0	0		263	
264	33	WS-CICS-RESP	0	0	263	263	4
265	33	WS-CICS-RESP2	4	0	263	263	4
266	34	WS-FAIL-INFO	0	0		266	
267	35	FILLER	0	0	266	266	9
268	36	WS-CICS-FAIL-MSG	9	0	266	266	70
269	37	FILLER	79	0	266	266	6
270	38	WS-CICS-RESP-DISP	85	0	266	266	10
271	39	FILLER	95	0	266	266	7
272	38	WS-CICS-RESP2-DISP	102	0	266	266	10
273	40	FILLER	112	0	266	266	15
274	41	SWITCHES	0	0		274	
275	42	VALID-DATA-SW	0	0	274	274	1
276	43	VALID-DATA	0	0	275	274	1
277	44	FLAGS	0	0		277	
278	45	SEND-FLAG	0	0	277	277	1
279	46	SEND-ERASE	0	0	278	277	1
280	46	SEND-DATAONLY	0	0	278	277	1
281	46	SEND-DATAONLY-ALARM	0	0	278	277	1
282	47	ACTION-ALPHA	0	0		282	
283	48	ACTION-NUM	0	0	282	282	1
284	49	END-OF-SESSION-MESSAGE	0	0		284	13
285	50	RESPONSE-CODE	0	0		285	4
286	51	COMMUNICATION-AREA	0	0		286	1
287	52	DFHAID	0	0		287	
288	53	DFHNULL	0	0	287	287	1
289	53	DFHENTER	1	0	287	287	1
290	53	DFHCLEAR	2	0	287	287	1
291	53	DFHCLRP	3	0	287	287	1
292	53	DFHPEN	4	0	287	287	1
293	53	DFHOPID	5	0	287	287	1
294	53	DFHMSRE	6	0	287	287	1
295	53	DFHSTRF	7	0	287	287	1
296	53	DFHTRIG	8	0	287	287	1
297	53	DFHPA1	9	0	287	287	1
298	53	DFHPA2	10	0	287	287	1
299	53	DFHPA3	11	0	287	287	1
300	53	DFHPF1	12	0	287	287	1
301	53	DFHPF2	13	0	287	287	1
302	53	DFHPF3	14	0	287	287	1
303	53	DFHPF4	15	0	287	287	1
304	53	DFHPF5	16	0	287	287	1
305	53	DFHPF6	17	0	287	287	1
306	53	DFHPF7	18	0	287	287	1
307	53	DFHPF8	19	0	287	287	1
308	53	DFHPF9	20	0	287	287	1
309	53	DFHPF10	21	0	287	287	1
310	53	DFHPF11	22	0	287	287	1
311	53	DFHPF12	23	0	287	287	1
312	53	DFHPF13	24	0	287	287	1
313	53	DFHPF14	25	0	287	287	1
314	53	DFHPF15	26	0	287	287	1
315	53	DFHPF16	27	0	287	287	1
316	53	DFHPF17	28	0	287	287	1
317	53	DFHPF18	29	0	287	287	1
318	53	DFHPF19	30	0	287	287	1
319	53	DFHPF20	31	0	287	287	1
320	53	DFHPF21	32	0	287	287	1
321	53	DFHPF22	33	0	287	287	1
322	53	DFHPF23	34	0	287	287	1
323	53	DFHPF24	35	0	287	287	1
324	137	COMM-OPENED-SPLIT	0	0		324	
325	138	COMM-OPENED-SPLIT-DD	0	0	324	324	2
326	138	COMM-OPENED-SPLIT-MM	2	0	324	324	2
